ADAADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADABNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADABTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADADAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADADOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADALINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADALTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADASOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADATRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ADAXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0009980000,0.0010020000,0.0009920000,0.0010010000,65256.5000000000,1672545599999,64.9602558000,103,12228.6000000000,12.2155595000,1672531200000,0.0000148600,0.0000148800,0.0000147800,0.0000148400,1068808.5000000000,1672545599999,15.8586460700,1117,570399.6000000000,8.4676711100,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0002054000,0.0002060000,0.0002045000,0.0002055000,63412.2000000000,1672545599999,13.0253002800,177,33127.0000000000,6.8101485500,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.2458000000,0.2462000000,0.2441000000,0.2454000000,11380844.4000000004,1672545599999,2789734.3058699998,5151,5827446.0000000000,1428369.1527600000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0010010000,0.0010060000,0.0009980000,0.0010040000,77308.9000000000,1672559999999,77.4997959000,86,14477.9000000000,14.5309339000,1672545600000,0.0000148400,0.0000148500,0.0000147700,0.0000148400,397134.8000000000,1672559999999,5.8824032800,741,208240.1000000000,3.0850907300,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0002056000,0.0002056000,0.0002046000,0.0002051000,33013.4000000000,1672559999999,6.7710527100,101,9829.6000000000,2.0159705900,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.2454000000,0.2455000000,0.2443000000,0.2452000000,6323089.9000000004,1672559999999,1547674.9863400001,3261,3204972.6000000001,784550.3205600000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0010040000,0.0010070000,0.0010010000,0.0010060000,58544.1000000000,1672574399999,58.7898771000,112,38483.3000000000,38.6659467000,1672560000000,0.0000148300,0.0000148700,0.0000147500,0.0000148600,631589.4000000000,1672574399999,9.3599172800,1031,297032.8000000000,4.4032215500,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0002052000,0.0002057000,0.0002040000,0.0002055000,36947.3000000000,1672574399999,7.5707680600,156,15302.1000000000,3.1370214400,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.2452000000,0.2460000000,0.2434000000,0.2459000000,6758810.0000000000,1672574399999,1655824.9268000000,4346,3502433.3999999999,858215.2201100000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0010050000,0.0010070000,0.0010040000,0.0010070000,67405.2000000000,1672588799999,67.7983087000,84,35037.0000000000,35.2504942000,1672574400000,0.0000148600,0.0000148800,0.0000148100,0.0000148600,649047.1000000000,1672588799999,9.6376615400,734,428516.0000000000,6.3636166300,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0002057000,0.0002059000,0.0002051000,0.0002056000,59148.0000000000,1672588799999,12.1594283100,118,23449.2000000000,4.8217623600,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.2459000000,0.2464000000,0.2451000000,0.2462000000,5893192.9000000004,1672588799999,1448297.2650100000,3532,3450594.8999999999,848100.4697100000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0010080000,0.0010170000,0.0010070000,0.0010130000,81254.5000000000,1672603199999,82.1617982000,163,48743.2000000000,49.2737596000,1672588800000,0.0000148700,0.0000150300,0.0000148700,0.0000149600,1046901.2000000000,1672603199999,15.6645950500,1376,551517.8000000000,8.2535122600,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0002058000,0.0002074000,0.0002058000,0.0002066000,293087.7000000000,1672603199999,60.5729849200,298,73747.7000000000,15.2558081200,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.2462000000,0.2496000000,0.2461000000,0.2484000000,11994377.5000000000,1672603199999,2976525.4069900000,5801,6497701.2000000002,1612342.9596599999,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0010130000,0.0010250000,0.0010120000,0.0010240000,50367.1000000000,1672617599999,51.2951077000,119,31828.9000000000,32.4633407000,1672603200000,0.0000149700,0.0000150500,0.0000149500,0.0000150400,1152935.7000000000,1672617599999,17.3005967000,1227,662788.2000000000,9.9504020900,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0002068000,0.0002081000,0.0002066000,0.0002081000,109259.1000000000,1672617599999,22.6378284700,222,61234.8000000000,12.6882145900,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.2485000000,0.2500000000,0.2482000000,0.2499000000,7136714.7999999998,1672617599999,1777243.9719300000,3986,3777015.1000000001,940727.8863200000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0010240000,0.0010260000,0.0010200000,0.0010250000,103955.0000000000,1672631999999,106.3452487000,187,51817.2000000000,53.0364935000,1672617600000,0.0000150400,0.0000150800,0.0000149000,0.0000150000,1433786.1000000001,1672631999999,21.4862657100,1776,694219.5000000000,10.4084833800,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0002082000,0.0002086000,0.0002064000,0.0002080000,111233.8000000000,1672631999999,23.0931302800,322,51749.7000000000,10.7581023200,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.2499000000,0.2506000000,0.2466000000,0.2497000000,13117513.8000000007,1672631999999,3256924.9395300001,6475,6404161.7000000002,1589826.5760200000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0010260000,0.0010350000,0.0010230000,0.0010320000,59298.6000000000,1672646399999,60.8977104000,180,32841.9000000000,33.7555653000,1672632000000,0.0000150000,0.0000152700,0.0000149700,0.0000152100,1773302.8999999999,1672646399999,26.7906561000,2198,869336.4000000000,13.1311298100,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0002080000,0.0002105000,0.0002075000,0.0002096000,271395.8000000000,1672646399999,56.6860453300,554,134471.8000000000,28.0761772900,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.2498000000,0.2561000000,0.2491000000,0.2541000000,18139774.8000000007,1672646399999,4578198.4536600001,9605,10124522.3000000007,2556188.3490300002,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0010310000,0.0010350000,0.0010260000,0.0010300000,53376.6000000000,1672660799999,55.0266774000,131,39305.5000000000,40.5585647000,1672646400000,0.0000152100,0.0000152900,0.0000151400,0.0000151900,1707741.0000000000,1672660799999,25.9780486000,2077,987065.3000000000,15.0166814100,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0002097000,0.0002106000,0.0002080000,0.0002088000,222720.1000000000,1672660799999,46.5130155100,408,110130.4000000000,23.0008606800,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.2541000000,0.2561000000,0.2530000000,0.2540000000,15213898.8000000007,1672660799999,3870396.2295400002,8667,7483244.0999999996,1903795.7449399999,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0010290000,0.0010320000,0.0010250000,0.0010300000,105222.8000000000,1672675199999,108.2624953000,165,66094.6000000000,68.0451151000,1672660800000,0.0000151900,0.0000152400,0.0000151300,0.0000152200,1160896.3999999999,1672675199999,17.6264632400,1428,622044.2000000000,9.4473954000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0002088000,0.0002091000,0.0002078000,0.0002089000,226114.6000000000,1672675199999,47.1563543200,350,81537.1000000000,17.0092643200,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.2541000000,0.2551000000,0.2526000000,0.2546000000,10715833.5000000000,1672675199999,2719730.6239000000,6034,6020264.0999999996,1528151.7013399999,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
