AVAXADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,AVAXXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,0.0442300000,0.0442800000,0.0439900000,0.0441100000,1580.1800000000,1672545599999,69.7732955000,166,1077.8800000000,47.6092773000,1672531200000,0.0006590000,0.0006596000,0.0006538000,0.0006539000,2093.7700000000,1672545599999,1.3737990000,308,1215.3000000000,0.7980245100,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0090700000,0.0090900000,0.0090600000,0.0090600000,276.2500000000,1672545599999,2.5065547000,37,82.5500000000,0.7495367000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,10.9000000000,10.9100000000,10.8000000000,10.8200000000,64374.3600000000,1672545599999,697997.2425000001,2133,26386.7200000000,286072.2897000000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,0.0441200000,0.0441200000,0.0438200000,0.0439000000,1198.5500000000,1672559999999,52.6698160000,140,538.6500000000,23.6864193000,1672545600000,0.0006539000,0.0006544000,0.0006471000,0.0006482000,4496.4100000000,1672559999999,2.9194293700,687,1939.7600000000,1.2597325400,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0090500000,0.0090600000,0.0089500000,0.0089700000,780.5500000000,1672559999999,7.0246326000,87,404.6300000000,3.6409685000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,10.8200000000,10.8200000000,10.6800000000,10.7100000000,207408.0800000000,1672559999999,2224806.9210999999,6156,47398.9300000000,508370.5169000000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,0.0439100000,0.0440000000,0.0437200000,0.0440000000,883.9800000000,1672574399999,38.7454533000,105,521.9600000000,22.8933977000,1672560000000,0.0006474000,0.0006498000,0.0006451000,0.0006497000,3580.4600000000,1672574399999,2.3158539000,574,2456.2800000000,1.5884382800,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0089600000,0.0090000000,0.0089300000,0.0090000000,386.5900000000,1672574399999,3.4637500000,72,201.0800000000,1.8024155000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,10.7100000000,10.7600000000,10.6400000000,10.7600000000,97403.2400000000,1672574399999,1041289.9149000000,3012,52254.7300000000,559066.6001000000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,0.0439500000,0.0441200000,0.0439000000,0.0439900000,1272.7100000000,1672588799999,55.9989272000,113,549.6800000000,24.2054184000,1672574400000,0.0006494000,0.0006508000,0.0006479000,0.0006500000,3247.6400000000,1672588799999,2.1085292200,381,1466.7800000000,0.9522360800,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0089900000,0.0090100000,0.0089700000,0.0089900000,1018.1600000000,1672588799999,9.1513858000,100,542.2200000000,4.8754193000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,10.7600000000,10.7800000000,10.7200000000,10.7700000000,64518.5100000000,1672588799999,693790.5310000000,2217,33756.5800000000,363142.0015000000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,0.0440000000,0.0444300000,0.0439100000,0.0444300000,1424.1700000000,1672603199999,62.9228040000,126,1074.5800000000,47.5033094000,1672588800000,0.0006501000,0.0006565000,0.0006484000,0.0006556000,4331.3300000000,1672603199999,2.8280168500,573,2176.8200000000,1.4203668500,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0089900000,0.0090600000,0.0089600000,0.0090600000,1663.1300000000,1672603199999,14.9981570000,163,961.8000000000,8.6730175000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,10.7600000000,10.9100000000,10.7400000000,10.8900000000,94238.0500000000,1672603199999,1020716.0020000000,3048,51189.8300000000,554441.8213000000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,0.0443900000,0.0446800000,0.0441100000,0.0444300000,2419.3500000000,1672617599999,107.4846569000,293,1072.0000000000,47.6786542000,1672603200000,0.0006564000,0.0006582000,0.0006485000,0.0006540000,22396.3000000000,1672617599999,14.6305197300,965,6677.8000000000,4.3734962400,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0090700000,0.0091000000,0.0090300000,0.0090500000,2532.5300000000,1672617599999,22.9499196000,193,1295.8500000000,11.7469795000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,10.8900000000,10.9400000000,10.8400000000,10.8700000000,327878.8200000000,1672617599999,3571341.2862999998,4836,170512.9200000000,1857883.2712999999,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,0.0445200000,0.0447300000,0.0443200000,0.0445000000,1445.2200000000,1672631999999,64.2139734000,218,684.8200000000,30.4441286000,1672617600000,0.0006541000,0.0006549000,0.0006466000,0.0006517000,6255.5600000000,1672631999999,4.0698210600,719,4501.2500000000,2.9288599600,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0090400000,0.0090800000,0.0089700000,0.0090400000,1469.1600000000,1672631999999,13.2421330000,187,799.2900000000,7.2064897000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,10.8700000000,10.9200000000,10.7000000000,10.8400000000,142437.2900000000,1672631999999,1538418.6351000001,4208,68287.5000000000,737755.1645000000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,0.0445000000,0.0455000000,0.0442700000,0.0451600000,4058.8900000000,1672646399999,182.2268114000,489,2230.6500000000,100.2959676000,1672632000000,0.0006511000,0.0006720000,0.0006503000,0.0006664000,13935.1600000000,1672646399999,9.2119960000,1321,6503.1700000000,4.3025717500,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0090200000,0.0092500000,0.0090200000,0.0091800000,3130.2000000000,1672646399999,28.5636501000,349,1460.9700000000,13.3431076000,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,10.8500000000,11.2700000000,10.8300000000,11.1200000000,357102.3100000000,1672646399999,3943624.2431000001,8860,193757.6600000000,2140400.4509000001,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,0.0451500000,0.0453000000,0.0449700000,0.0451300000,2057.1800000000,1672660799999,92.9040307000,244,478.6400000000,21.6214970000,1672646400000,0.0006653000,0.0006685000,0.0006646000,0.0006663000,4271.4400000000,1672660799999,2.8473497400,537,1697.6800000000,1.1318538400,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0091600000,0.0092200000,0.0091300000,0.0091600000,2031.6000000000,1672660799999,18.6115848000,221,807.7400000000,7.4029600000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,11.1200000000,11.2000000000,11.0900000000,11.1400000000,179622.1500000000,1672660799999,2003090.4720000001,5536,87048.8600000000,971250.9828999999,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,0.0451800000,0.0453500000,0.0451000000,0.0452900000,780.6400000000,1672675199999,35.3284816000,115,477.3600000000,21.6104223000,1672660800000,0.0006664000,0.0006696000,0.0006662000,0.0006687000,6617.8600000000,1672675199999,4.4204208600,657,4892.3800000000,3.2683236900,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0091700000,0.0091900000,0.0091400000,0.0091800000,1545.4400000000,1672675199999,14.1739654000,156,900.9600000000,8.2639535000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,11.1500000000,11.2200000000,11.1100000000,11.1800000000,109320.9900000000,1672675199999,1220804.6455999999,4502,56019.8200000000,625896.3049000000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
