BNBADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BNBXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,1002.0040080160,998.0039920160,1008.0645161290,999.0009990010,,1672545599999,,,,,1672531200000,22.6090888537,22.5835591689,22.7324391907,22.6705962367,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,0.0148890000,0.0149110000,0.0148220000,0.0148350000,4016.0570000000,1672545599999,59.6521115000,3812,1303.0100000000,19.3644472700,1672531200000,,,,,,1672545599999,,,,,1672531200000,57.1755288736,56.9800569801,57.5043128235,57.0776255708,,1672545599999,,,,,1672531200000,0.2060000000,0.2064000000,0.2052000000,0.2054000000,780.5270000000,1672545599999,160.5063955000,695,347.1690000000,71.4258745000,1672531200000,44.5434298441,44.1501103753,44.5434298441,44.2282176028,,1672545599999,,,,,1672531200000,3.5100035100,3.5075412136,3.5549235691,3.5298270385,,1672545599999,,,,,1672531200000,324.8862897986,324.8862897986,327.9763857002,326.0515161396,,1672545599999,,,,,1672531200000,1658.6498590148,1642.3057973395,1667.2224074692,1659.7510373444,,1672545599999,,,,,1672531200000,4520.7956600362,4476.2757385855,4520.7956600362,4478.2803403493,,1672545599999,,,,,1672531200000,246.3000000000,246.7000000000,245.1000000000,245.3000000000,14850.5090000000,1672545599999,3647973.9133000001,11138,6316.6410000000,1551760.0789999999,1672531200000,3473.4282737061,3448.2758620690,3479.4711203897,3451.8467380048,,1672545599999,,,,,1672531200000,726.7441860465,724.6376811594,728.3321194465,725.6894049347,,1672545599999,,,,
1672545600000,999.0009990010,994.0357852883,1002.0040080160,996.0159362550,,1672559999999,,,,,1672545600000,22.6654578422,22.6654578422,22.8206298494,22.7790432802,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,0.0148350000,0.0148350000,0.0147480000,0.0147660000,3497.9570000000,1672559999999,51.6795519400,4421,1840.3710000000,27.1857070700,1672545600000,,,,,,1672559999999,,,,,1672545600000,57.0450656018,56.6893424036,57.0776255708,56.6893424036,,1672559999999,,,,,1672545600000,0.2054000000,0.2055000000,0.2041000000,0.2041000000,620.6940000000,1672559999999,126.9269789000,743,340.1780000000,69.5260826000,1672545600000,44.2477876106,44.0140845070,44.3655723159,44.3655723159,,1672559999999,,,,,1672545600000,3.5310734463,3.5112359551,3.5360678925,3.5112359551,,1672559999999,,,,,1672545600000,326.1578604044,323.9390994493,326.6906239791,324.0440699935,,1672559999999,,,,,1672545600000,1659.7510373444,1656.4518800729,1702.7073046143,1687.4789065137,,1672559999999,,,,,1672545600000,4478.2803403493,4458.3147570218,4484.3049327354,4470.2726866339,,1672559999999,,,,,1672545600000,245.3000000000,245.3000000000,243.5000000000,244.0000000000,30538.1220000000,1672559999999,7455387.3693000004,15527,15151.3560000000,3698851.4421000001,1672545600000,3451.8467380048,3424.6575342466,3451.8467380048,3424.6575342466,,1672559999999,,,,,1672545600000,726.2164124909,723.5890014472,727.2727272727,725.1631617114,,1672559999999,,,,
1672560000000,996.0159362550,993.0486593843,999.0009990010,994.0357852883,,1672574399999,,,,,1672560000000,22.7738556138,22.7272727273,22.8728270814,22.7272727273,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,0.0147660000,0.0147800000,0.0147410000,0.0147610000,2451.4360000000,1672574399999,36.1885233700,3419,1276.6930000000,18.8468131000,1672560000000,,,,,,1672574399999,,,,,1672560000000,56.6893424036,56.2429696288,56.7859170926,56.4015792442,,1672574399999,,,,,1672560000000,0.2041000000,0.2043000000,0.2037000000,0.2041000000,513.3610000000,1672574399999,104.7640112000,619,170.2050000000,34.7516490000,1672560000000,44.0140845070,43.6871996505,44.0528634361,43.7445319335,,1672574399999,,,,,1672560000000,3.5112359551,3.4578146611,3.5149384886,3.4831069314,,1672574399999,,,,,1672560000000,324.0440699935,322.3726627982,324.2542153048,322.4766204450,,1672574399999,,,,,1672560000000,1687.1941960520,1658.0998176090,1702.1276595745,1666.9444907485,,1672574399999,,,,,1672560000000,4468.2752457551,4460.3033006244,4484.3049327354,4462.2936189201,,1672574399999,,,,,1672560000000,244.1000000000,244.6000000000,243.4000000000,244.4000000000,14131.2650000000,1672574399999,3448337.8404999999,14031,6957.2350000000,1698075.8118000000,1672560000000,3432.8870580158,3401.3605442177,3432.8870580158,3411.8048447629,,1672574399999,,,,,1672560000000,724.6376811594,721.5007215007,724.6376811594,723.0657989877,,1672574399999,,,,
1672574400000,995.0248756219,993.0486593843,996.0159362550,993.0486593843,,1672588799999,,,,,1672574400000,22.7531285552,22.6654578422,22.7790432802,22.7324391907,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,0.0147600000,0.0147800000,0.0147390000,0.0147720000,2471.5910000000,1672588799999,36.4801930700,3319,1160.8120000000,17.1358466600,1672574400000,,,,,,1672588799999,,,,,1672574400000,56.3380281690,56.3063063063,56.5610859729,56.4015792442,,1672588799999,,,,,1672574400000,0.2041000000,0.2045000000,0.2036000000,0.2043000000,756.2620000000,1672588799999,154.4219669000,829,304.3010000000,62.1794204000,1672574400000,43.8788942519,43.5350457118,43.9947206335,43.7445319335,,1672588799999,,,,,1672574400000,3.4782608696,3.4662045061,3.5063113604,3.4734282737,,1672588799999,,,,,1672574400000,322.4766204450,321.7503217503,323.7293622532,322.7888960620,,1672588799999,,,,,1672574400000,1667.2224074692,1662.7868307283,1687.4789065137,1678.6973308712,,1672588799999,,,,,1672574400000,4464.2857142857,4450.3782821540,4476.2757385855,4462.2936189201,,1672588799999,,,,,1672574400000,244.4000000000,244.8000000000,244.0000000000,244.6000000000,14272.9490000000,1672588799999,3487292.8283000002,13050,7108.5420000000,1737015.8204000001,1672574400000,3401.3605442177,3389.8305084746,3415.3005464481,3392.1302578019,,1672588799999,,,,,1672574400000,723.0657989877,720.9805335256,726.7441860465,726.7441860465,,1672588799999,,,,
1672588800000,992.0634920635,983.2841691249,993.0486593843,987.1668311945,,1672603199999,,,,,1672588800000,22.7272727273,22.5073148773,22.7738556138,22.5073148773,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,0.0147720000,0.0148040000,0.0147440000,0.0147730000,3164.1480000000,1672603199999,46.7550944500,3861,1388.1990000000,20.5156703300,1672588800000,,,,,,1672603199999,,,,,1672588800000,56.3380281690,56.0538116592,56.4652738566,56.3063063063,,1672603199999,,,,,1672588800000,0.2043000000,0.2046000000,0.2037000000,0.2041000000,609.3460000000,1672603199999,124.3830058000,693,203.1260000000,41.4783127000,1672588800000,43.7445319335,43.4027777778,43.8020148927,43.6490615452,,1672603199999,,,,,1672588800000,3.4758428919,3.4270047978,3.4867503487,3.4566194262,,1672603199999,,,,,1672588800000,322.4766204450,321.9575016098,323.6245954693,322.8931223765,,1672603199999,,,,,1672588800000,1678.6973308712,1652.8925619835,1682.0857863751,1666.6666666667,,1672603199999,,,,,1672588800000,4462.2936189201,4452.3597506679,4474.2729306488,4470.2726866339,,1672603199999,,,,,1672588800000,244.6000000000,245.7000000000,244.4000000000,245.3000000000,15289.7820000000,1672603199999,3747519.2093000002,13364,7133.8500000000,1748679.9912000000,1672588800000,3393.2813030200,3390.9799932180,3404.8348655090,3390.9799932180,,1672603199999,,,,,1672588800000,725.6894049347,720.9805335256,726.7441860465,723.5890014472,,1672603199999,,,,
1672603200000,987.1668311945,975.6097560976,988.1422924901,976.5625000000,,1672617599999,,,,,1672603200000,22.5275963055,22.3813786929,22.6705962367,22.5073148773,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,0.0147730000,0.0147930000,0.0146800000,0.0147060000,3154.1010000000,1672617599999,46.5095262600,4188,1283.0300000000,18.9244252300,1672603200000,,,,,,1672617599999,,,,,1672603200000,56.3063063063,55.7724484105,56.3697857948,55.8971492454,,1672617599999,,,,,1672603200000,0.2040000000,0.2043000000,0.2031000000,0.2035000000,547.4110000000,1672617599999,111.4921338000,695,214.5880000000,43.7194605000,1672603200000,43.6490615452,43.1965442765,43.7254044600,43.4216239687,,1672617599999,,,,,1672603200000,3.4590107229,3.4328870580,3.4662045061,3.4447123665,,1672617599999,,,,,1672603200000,322.4766204450,320.8213025345,323.5198964736,321.3367609254,,1672617599999,,,,,1672603200000,1665.5562958028,1653.7125847528,1669.7278343630,1665.0016650017,,1672617599999,,,,,1672603200000,4470.2726866339,4446.4206313917,4488.3303411131,4458.3147570218,,1672617599999,,,,,1672603200000,245.3000000000,245.9000000000,243.5000000000,244.4000000000,20367.4900000000,1672617599999,4980750.5585000003,12496,10722.2950000000,2621789.2917999998,1672603200000,3392.1302578019,3335.5570380253,3399.0482664854,3364.7375504711,,1672617599999,,,,,1672603200000,723.5890014472,720.4610951009,726.2164124909,721.5007215007,,1672617599999,,,,
1672617600000,976.5625000000,974.6588693957,980.3921568627,975.6097560976,,1672631999999,,,,,1672617600000,22.4618149146,22.3563603845,22.5631768953,22.4719101124,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,0.0147060000,0.0147130000,0.0145430000,0.0146320000,5508.9410000000,1672631999999,80.6077004100,7192,2335.2710000000,34.1769471100,1672617600000,,,,,,1672631999999,,,,,1672617600000,55.8971492454,54.8245614035,56.0538116592,54.8546352167,,1672631999999,,,,,1672617600000,0.2036000000,0.2037000000,0.2015000000,0.2029000000,1797.5940000000,1672631999999,364.2480037000,1502,502.1120000000,101.7669863000,1672617600000,43.3463372345,43.1406384814,43.5729847495,43.4216239687,,1672631999999,,,,,1672617600000,3.4435261708,3.4317089911,3.4867503487,3.4364261168,,1672631999999,,,,,1672617600000,321.4400514304,320.6155819173,322.9974160207,322.5806451613,,1672631999999,,,,,1672617600000,1663.8935108153,1663.8935108153,1686.6250632484,1667.5004168751,,1672631999999,,,,,1672617600000,4458.3147570218,4418.9129474149,4466.2795891023,4466.2795891023,,1672631999999,,,,,1672617600000,244.5000000000,244.6000000000,240.7000000000,243.9000000000,44680.5220000000,1672631999999,10837369.4615000002,22988,21322.9190000000,5172419.1990000000,1672617600000,3346.7202141901,3346.7202141901,3404.8348655090,3373.8191632928,,1672631999999,,,,,1672617600000,720.4610951009,717.8750897344,806.4516129032,741.2898443291,,1672631999999,,,,
1672632000000,974.6588693957,966.1835748792,977.5171065494,968.9922480620,,1672646399999,,,,,1672632000000,22.4719101124,21.9780219780,22.5886604924,22.1434898140,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,0.0146310000,0.0147510000,0.0146020000,0.0147340000,4970.2610000000,1672646399999,72.9965461100,6010,2922.1480000000,42.9291732100,1672632000000,,,,,,1672646399999,,,,,1672632000000,54.8245614035,54.4959128065,55.1876379691,55.0660792952,,1672646399999,,,,,1672632000000,0.2027000000,0.2036000000,0.2024000000,0.2031000000,1007.7610000000,1672646399999,204.5454086000,848,662.6130000000,134.5242052000,1672632000000,43.2152117545,43.1034482759,43.4027777778,43.2338953740,,1672646399999,,,,,1672632000000,3.4423407917,3.1625553447,3.4674063800,3.2927230820,,1672646399999,,,,,1672632000000,322.1649484536,318.0661577608,322.9974160207,319.8976327575,,1672646399999,,,,,1672632000000,1667.7785190127,1390.0472616069,1671.6817118021,1507.8407720145,,1672646399999,,,,,1672632000000,4466.2795891023,4452.3597506679,4502.4763619991,4500.4500450045,,1672646399999,,,,,1672632000000,243.9000000000,247.0000000000,243.0000000000,246.4000000000,39437.6290000000,1672646399999,9676300.2338999994,25151,24277.0370000000,5960125.0646000002,1672632000000,3373.8191632928,3363.6057854020,3390.9799932180,3390.9799932180,,1672646399999,,,,,1672632000000,742.3904974016,726.2164124909,744.6016381236,729.9270072993,,1672646399999,,,,
1672646400000,969.9321047527,966.1835748792,974.6588693957,970.8737864078,,1672660799999,,,,,1672646400000,22.1483942414,22.0750551876,22.2370469202,22.1582096167,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,0.0147340000,0.0148130000,0.0147340000,0.0147540000,4446.9510000000,1672660799999,65.6794575300,5997,2277.0450000000,33.6360542200,1672646400000,,,,,,1672660799999,,,,,1672646400000,55.0964187328,54.7645125958,55.1571980143,55.0357732526,,1672660799999,,,,,1672646400000,0.2032000000,0.2037000000,0.2024000000,0.2029000000,874.3100000000,1672660799999,177.4610582000,998,465.5120000000,94.5090898000,1672646400000,43.4027777778,43.0107526882,43.4971726838,43.4027777778,,1672660799999,,,,,1672646400000,3.2916392363,3.2520325203,3.3134526176,3.2808398950,,1672660799999,,,,,1672646400000,320.0000000000,316.2555344719,320.3074951954,317.4603174603,,1672660799999,,,,,1672646400000,1507.3861923425,1474.0566037736,1533.9776039270,1518.3723048892,,1672660799999,,,,,1672646400000,4500.4500450045,4444.4444444444,4510.5999097880,4454.3429844098,,1672660799999,,,,,1672646400000,246.4000000000,247.9000000000,246.2000000000,246.8000000000,33291.4250000000,1672660799999,8226471.9654000001,22528,16522.6630000000,4083804.4342999998,1672646400000,3380.6626098715,3346.7202141901,3387.5338753388,3387.5338753388,,1672660799999,,,,,1672646400000,729.3946024799,712.7583749109,729.3946024799,716.8458781362,,1672660799999,,,,
1672660800000,971.8172983479,968.9922480620,975.6097560976,970.8737864078,,1672675199999,,,,,1672660800000,22.1336874723,22.0507166483,22.1729490022,22.0799293442,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,0.0147550000,0.0147930000,0.0147310000,0.0147620000,3641.9760000000,1672675199999,53.7654424100,4414,1580.8280000000,23.3409212600,1672660800000,,,,,,1672675199999,,,,,1672660800000,55.0660792952,54.7645125958,55.1267916207,54.8546352167,,1672675199999,,,,,1672660800000,0.2029000000,0.2033000000,0.2019000000,0.2026000000,872.4430000000,1672675199999,176.7896488000,1108,294.4430000000,59.7234030000,1672660800000,43.3275563258,43.0663221361,43.5350457118,43.2338953740,,1672675199999,,,,,1672660800000,3.2819166393,3.2030749520,3.2873109796,3.2851511170,,1672675199999,,,,,1672660800000,317.1582619727,314.3665513989,317.9650238474,314.8614609572,,1672675199999,,,,,1672660800000,1518.1417944436,1491.4243102163,1519.9878400973,1504.8908954101,,1672675199999,,,,,1672660800000,4456.3279857398,4456.3279857398,4480.2867383513,4466.2795891023,,1672675199999,,,,,1672660800000,246.8000000000,247.6000000000,246.0000000000,247.0000000000,22048.1260000000,1672675199999,5441698.1081999997,19001,11334.8360000000,2798145.0849000001,1672660800000,3379.5201081446,3356.8311513931,3386.3867253640,3356.8311513931,,1672675199999,,,,,1672660800000,717.3601147776,699.7900629811,722.0216606498,703.2348804501,,1672675199999,,,,
