BTCADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,BTCXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,67294.7510094213,67204.3010752688,67658.9986468200,67385.4447439353,,1672545599999,,,,,1672531200000,1517.4506828528,1516.0703456640,1529.5197308045,1529.2858235204,,1672545599999,,,,,1672531200000,67.1636778830,67.0645831936,67.4672783700,67.4081563869,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,3838.7715930902,3835.8266206367,3865.4812524159,3844.6751249519,,1672545599999,,,,,1672531200000,13.8314499509,13.8205539278,13.8638569250,13.8477303570,,1672545599999,,,,,1672531200000,2967.3590504451,2963.8411381150,2993.1158335828,2978.8501638368,,1672545599999,,,,,1672531200000,235.8490566038,235.4603249352,239.0628735357,237.9819133746,,1672545599999,,,,,1672531200000,21805.4949847362,21805.4949847362,22075.0551876380,21987.6868953386,,1672545599999,,,,,1672531200000,1658.6498590148,1642.3057973395,1667.2224074692,1659.7510373444,,1672545599999,,,,,1672531200000,303951.3677811550,301204.8192771084,303951.3677811550,302114.8036253777,,1672545599999,,,,,1672531200000,16541.7700000000,16559.7700000000,16508.3900000000,16533.0400000000,15515.8232700000,1672545599999,256565046.2444078028,529532,7617.4126200000,125959681.2280883938,1672531200000,232558.1395348837,232018.5614849188,234192.0374707260,233100.2331002331,,1672545599999,,,,,1672531200000,48828.1250000000,48756.7040468064,49115.9135559921,48875.8553274682,,1672545599999,,,,
1672545600000,67385.4447439353,67340.0673400673,67704.8070412999,67385.4447439353,,1672559999999,,,,,1672545600000,1529.2858235204,1528.1173594132,1545.3562046052,1542.7337241592,,1672559999999,,,,,1672545600000,67.4081563869,67.4081563869,67.8058041768,67.7231477719,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,3844.6751249519,3838.7715930902,3859.5137012736,3840.2457757296,,1672559999999,,,,,1672545600000,13.8500318551,13.8249485021,13.8677021218,13.8274336283,,1672559999999,,,,,1672545600000,2977.0765108663,2976.1904761905,2998.5007496252,2987.7502240813,,1672559999999,,,,,1672545600000,237.9819133746,237.6990729736,239.6931927133,237.7555872563,,1672559999999,,,,,1672545600000,21987.6868953386,21939.4471259324,22089.6841175171,21949.0781387182,,1672559999999,,,,,1672545600000,1659.7510373444,1656.4518800729,1702.7073046143,1687.4789065137,,1672559999999,,,,,1672545600000,301204.8192771084,301204.8192771084,303951.3677811550,303030.3030303030,,1672559999999,,,,,1672545600000,16533.0400000000,16550.0000000000,16499.0100000000,16526.1900000000,16532.2411500000,1672559999999,273208014.1886723042,502695,8215.8095200000,135772740.0324628055,1672545600000,232558.1395348837,232018.5614849188,233644.8598130841,232558.1395348837,,1672559999999,,,,,1672545600000,48875.8553274682,48875.8553274682,49236.8291482029,49043.6488474743,,1672559999999,,,,
1672560000000,67430.8833445718,67249.4956287828,67796.6101694915,67294.7510094213,,1672574399999,,,,,1672560000000,1544.6400988570,1538.9350569406,1550.1472639901,1539.1719255041,,1672574399999,,,,,1672560000000,67.7231477719,67.6589986468,67.8380028492,67.7460876634,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,3838.7715930902,3810.9756097561,3849.1147036182,3818.2512409317,,1672574399999,,,,,1672560000000,13.8272424330,13.8178803372,13.8392980708,13.8379575175,,1672574399999,,,,,1672560000000,2988.6431560072,2960.3315571344,2996.7036260114,2968.2398337786,,1672574399999,,,,,1672560000000,237.7555872563,234.0823970037,238.0952380952,235.7934449422,,1672574399999,,,,,1672560000000,21949.0781387182,21834.0611353712,21953.8968166850,21862.7022299956,,1672574399999,,,,,1672560000000,1687.1941960520,1658.0998176090,1702.1276595745,1666.9444907485,,1672574399999,,,,,1672560000000,303030.3030303030,302114.8036253777,303951.3677811550,302114.8036253777,,1672574399999,,,,,1672560000000,16525.7000000000,16557.0000000000,16505.2000000000,16556.6600000000,15915.9670100000,1672574399999,263119992.1962963939,531758,8004.2318800000,132326590.6029873043,1672560000000,232018.5614849188,230414.7465437788,232558.1395348837,230414.7465437788,,1672574399999,,,,,1672560000000,49067.7134445535,48851.9785051295,49067.7134445535,48923.6790606654,,1672574399999,,,,
1672574400000,67294.7510094213,67204.3010752688,67521.9446320054,67294.7510094213,,1672588799999,,,,,1672574400000,1539.8829688944,1536.5703749232,1543.4480629727,1538.4615384615,,1672588799999,,,,,1672574400000,67.7506775068,67.6589986468,67.8472080874,67.6956404008,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,3816.7938931298,3813.8825324180,3832.8861632810,3818.2512409317,,1672588799999,,,,,1672574400000,13.8381490092,13.8239929221,13.8555969684,13.8356600302,,1672588799999,,,,,1672574400000,2968.2398337786,2957.7048210589,2979.7377830751,2959.4554601953,,1672588799999,,,,,1672574400000,235.7934449422,234.5765892564,237.7555872563,235.3494939986,,1672588799999,,,,,1672574400000,21857.9234972678,21815.0087260035,21944.2615755980,21829.2949137743,,1672588799999,,,,,1672574400000,1667.2224074692,1662.7868307283,1687.4789065137,1678.6973308712,,1672588799999,,,,,1672574400000,302114.8036253777,301204.8192771084,303951.3677811550,302114.8036253777,,1672588799999,,,,,1672574400000,16556.6600000000,16572.9400000000,16533.6800000000,16558.7300000000,15046.0909600000,1672588799999,249044515.3848468661,520676,7515.6952300000,124401941.5415333062,1672574400000,230946.8822170901,229357.7981651376,230946.8822170901,229885.0574712644,,1672588799999,,,,,1672574400000,48923.6790606654,48875.8553274682,49188.3915395967,49140.0491400491,,1672588799999,,,,
1672588800000,67249.4956287828,66533.5994677312,67249.4956287828,66844.9197860963,,1672603199999,,,,,1672588800000,1538.2248884787,1523.2292460015,1542.2578655151,1525.3203172666,,1672603199999,,,,,1672588800000,67.6956404008,67.5493109970,67.8241996744,67.6910580112,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,3816.7938931298,3795.0664136622,3822.6299694190,3812.4285169653,,1672603199999,,,,,1672588800000,13.8366172238,13.7931034483,13.8492646040,13.8169257340,,1672603199999,,,,,1672588800000,2959.4554601953,2946.3759575722,2966.4787896767,2962.0853080569,,1672603199999,,,,,1672588800000,235.2941176471,231.7497103129,236.0160490913,234.0276152586,,1672603199999,,,,,1672588800000,21829.2949137743,21781.7468961011,21920.2104340202,21848.3722962639,,1672603199999,,,,,1672588800000,1678.6973308712,1652.8925619835,1682.0857863751,1666.6666666667,,1672603199999,,,,,1672588800000,301204.8192771084,301204.8192771084,303030.3030303030,302114.8036253777,,1672603199999,,,,,1672588800000,16558.7300000000,16623.6500000000,16558.0000000000,16603.0800000000,18532.6485700000,1672603199999,307401962.5247667432,594496,9437.4051500000,156541081.5214631855,1672588800000,230414.7465437788,229357.7981651376,230946.8822170901,229885.0574712644,,1672603199999,,,,,1672588800000,49164.2084562439,48828.1250000000,49164.2084562439,48971.5964740451,,1672603199999,,,,
1672603200000,66800.2672010688,66445.1827242525,66889.6321070234,66489.3617021277,,1672617599999,,,,,1672603200000,1523.4613040829,1519.2950470981,1542.0200462606,1529.0519877676,,1672617599999,,,,,1672603200000,67.6910580112,67.5995403231,68.1198910082,67.9994560044,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,3812.4285169653,3785.0113550341,3812.4285169653,3802.2813688213,,1672617599999,,,,,1672603200000,13.8169257340,13.7963384518,13.8448545598,13.8431296548,,1672617599999,,,,,1672603200000,2961.2081729346,2946.3759575722,2962.0853080569,2952.4653085326,,1672617599999,,,,,1672603200000,234.0823970037,232.2880371661,235.4048964218,234.4116268167,,1672617599999,,,,,1672603200000,21848.3722962639,21795.9895379250,21939.4471259324,21857.9234972678,,1672617599999,,,,,1672603200000,1665.5562958028,1653.7125847528,1669.7278343630,1665.0016650017,,1672617599999,,,,,1672603200000,303030.3030303030,302114.8036253777,303951.3677811550,303951.3677811550,,1672617599999,,,,,1672603200000,16603.5300000000,16628.0000000000,16586.2400000000,16616.7500000000,15382.6427800000,1672617599999,255454259.1382224858,539198,7758.2272800000,128839638.9085236937,1672603200000,229885.0574712644,228310.5022831050,230414.7465437788,229357.7981651376,,1672617599999,,,,,1672603200000,48971.5964740451,48923.6790606654,49140.0491400491,49043.6488474743,,1672617599999,,,,
1672617600000,66489.3617021277,66312.9973474801,67114.0939597315,66666.6666666667,,1672631999999,,,,,1672617600000,1528.8182235132,1526.9506794931,1546.5511908444,1534.4483658125,,1672631999999,,,,,1672617600000,67.9994560044,67.9671039217,68.7616035206,68.3433570257,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,3802.2813688213,3745.3183520599,3835.8266206367,3749.5313085864,,1672631999999,,,,,1672617600000,13.8431296548,13.8379575175,13.8752063937,13.8627037817,,1672631999999,,,,,1672617600000,2951.5938606848,2936.8575624082,2982.4038174769,2960.3315571344,,1672631999999,,,,,1672617600000,234.4116268167,233.8634237605,236.4625206905,234.9624060150,,1672631999999,,,,,1672617600000,21857.9234972678,21843.5998252512,22119.0002211900,22040.9962530306,,1672631999999,,,,,1672617600000,1663.8935108153,1663.8935108153,1686.6250632484,1667.5004168751,,1672631999999,,,,,1672617600000,303030.3030303030,302114.8036253777,305810.3975535168,305810.3975535168,,1672631999999,,,,,1672617600000,16617.1700000000,16707.2500000000,16548.7000000000,16661.9400000000,19463.4751000000,1672631999999,323032602.8792769909,619992,9720.7017500000,161345530.7256785929,1672617600000,228832.9519450801,228310.5022831050,233644.8598130841,230946.8822170901,,1672631999999,,,,,1672617600000,49043.6488474743,48899.7555012225,55279.1597567717,50709.9391480730,,1672631999999,,,,
1672632000000,66666.6666666667,65487.8847413229,66800.2672010688,65746.2195923734,,1672646399999,,,,,1672632000000,1535.8623867301,1488.0952380952,1537.7518068584,1500.6002400960,,1672646399999,,,,,1672632000000,68.3480281594,67.7920141007,68.4837693467,67.8702321162,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,3750.9377344336,3723.0081906180,3759.3984962406,3738.3177570093,,1672646399999,,,,,1672632000000,13.8627037817,13.7509969473,13.8713570349,13.7849275602,,1672646399999,,,,,1672632000000,2962.0853080569,2922.2676797195,2970.0029700030,2942.9075927016,,1672646399999,,,,,1672632000000,235.0176263220,215.0537634409,236.9668246445,223.5636038453,,1672646399999,,,,,1672632000000,22040.9962530306,21645.0216450216,22089.6841175171,21715.5266015201,,1672646399999,,,,,1672632000000,1667.7785190127,1390.0472616069,1671.6817118021,1507.8407720145,,1672646399999,,,,,1672632000000,305810.3975535168,303030.3030303030,305810.3975535168,305810.3975535168,,1672646399999,,,,,1672632000000,16662.3800000000,16769.5100000000,16619.4400000000,16721.2800000000,26026.8817800000,1672646399999,434177885.6099708676,777019,12891.5397600000,215065867.8637376130,1672632000000,230414.7465437788,228832.9519450801,231481.4814814815,229885.0574712644,,1672646399999,,,,,1672632000000,50735.6671740233,49358.3415597236,50968.3995922528,49529.4700346706,,1672646399999,,,,
1672646400000,65746.2195923734,65402.2236756050,66050.1981505944,65832.7847267939,,1672660799999,,,,,1672646400000,1503.0813166992,1495.8863126402,1504.6644598255,1500.8254539997,,1672660799999,,,,,1672646400000,67.8702321162,67.5082697630,67.8702321162,67.7782296326,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,3738.3177570093,3695.4915003695,3739.7157816006,3729.9515106304,,1672660799999,,,,,1672646400000,13.7847375386,13.6952532252,13.7965287934,13.7485392177,,1672660799999,,,,,1672646400000,2942.9075927016,2928.2576866764,2951.5938606848,2937.7203290247,,1672660799999,,,,,1672646400000,223.5636038453,220.1188641867,224.3661655822,222.2716159146,,1672660799999,,,,,1672646400000,21715.5266015201,21422.4507283633,21715.5266015201,21500.7525263384,,1672660799999,,,,,1672646400000,1507.3861923425,1474.0566037736,1533.9776039270,1518.3723048892,,1672660799999,,,,,1672646400000,305810.3975535168,302114.8036253777,305810.3975535168,302114.8036253777,,1672660799999,,,,,1672646400000,16721.2700000000,16772.0100000000,16704.0700000000,16735.1100000000,23267.9411900000,1672660799999,389312521.3750264645,799698,11767.5822500000,196896293.3073267937,1672646400000,230414.7465437788,227790.4328018223,230414.7465437788,228832.9519450801,,1672660799999,,,,,1672646400000,49504.9504950495,48123.1953801732,49529.4700346706,48567.2656629432,,1672660799999,,,,
1672660800000,65832.7847267939,65616.7979002625,66093.8532716457,65703.0223390276,,1672675199999,,,,,1672660800000,1500.6002400960,1493.4289127838,1501.0507355149,1495.4389113205,,1672675199999,,,,,1672660800000,67.7736360556,67.5995403231,67.8840540357,67.7414984419,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,3729.9515106304,3710.5751391466,3732.7360955580,3718.8545927854,,1672675199999,,,,,1672660800000,13.7487282426,13.7057646446,13.7525098330,13.7279666136,,1672675199999,,,,,1672660800000,2937.7203290247,2929.9736302373,2949.8525073746,2934.2723004695,,1672675199999,,,,,1672660800000,222.2222222222,216.2629757785,222.8163992870,222.6179875334,,1672675199999,,,,,1672660800000,21496.1306964746,21294.7189097104,21514.6299483649,21321.9616204691,,1672675199999,,,,,1672660800000,1518.1417944436,1491.4243102163,1519.9878400973,1504.8908954101,,1672675199999,,,,,1672660800000,302114.8036253777,301204.8192771084,303951.3677811550,302114.8036253777,,1672675199999,,,,,1672660800000,16735.5100000000,16750.0000000000,16669.1500000000,16734.6600000000,21747.2149100000,1672675199999,363473571.0233937502,755940,10798.2082000000,180482354.7526203990,1672660800000,228832.9519450801,227272.7272727273,229885.0574712644,228310.5022831050,,1672675199999,,,,,1672660800000,48567.2656629432,47415.8368895211,48828.1250000000,47664.4423260248,,1672675199999,,,,
