DAIADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAILINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAILTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAISOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAITRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,1,1,1,1,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,0.0005389819,0.0005385407,0.0005392115,0.0005385407,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,,1690848000000,,,,,,1690849799999,,,,
1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,1,1,1,1,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,0.0005383638,0.0005375708,0.0005383638,0.0005375708,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,,1690849800000,,,,,,1690851599999,,,,
1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,1,1,1,1,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,0.0005372560,0.0005367802,0.0005372560,0.0005371925,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,,1690851600000,,,,,,1690853399999,,,,
1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,1,1,1,1,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,0.0005386857,0.0005386857,0.0005399976,0.0005399976,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,,1690853400000,,,,,,1690855199999,,,,
1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,1,1,1,1,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,0.0005401114,0.0005401114,0.0005503668,0.0005473933,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,,1690855200000,,,,,,1690856999999,,,,
1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,1,1,1,1,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,0.0005476361,0.0005465466,0.0005477471,0.0005470879,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,,1690857000000,,,,,,1690858799999,,,,
1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,1,1,1,1,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,0.0005470879,0.0005470190,0.0005475642,0.0005475642,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,,1690858800000,,,,,,1690860599999,,,,
1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,1,1,1,1,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,0.0005475522,0.0005475252,0.0005479482,0.0005477861,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,,1690860600000,,,,,,1690862399999,,,,
1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,1,1,1,1,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,0.0005479662,0.0005479662,0.0005490131,0.0005489529,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,,1690862400000,,,,,,1690864199999,,,,
1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,1,1,1,1,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,0.0005483508,0.0005476361,0.0005483508,0.0005478131,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,,1690864200000,,,,,,1690865999999,,,,
