DAIADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAILINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAILTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAISOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAITRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0008363512,0.0008361973,0.0008399691,0.0008390177,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,1.0005002501,1.0002000400,1.0006003602,1.0002000400,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0008382300,0.0008368481,0.0008393839,0.0008368481,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,1.0002000400,1.0001000100,1.0003000900,1.0002000400,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0008369111,0.0008352405,0.0008377455,0.0008366521,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,1.0003000900,1.0002000400,1.0004001601,1.0003000900,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0008356453,0.0008350173,0.0008376472,0.0008359457,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,1.0003000900,1.0001000100,1.0005002501,1.0003000900,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0008359457,0.0008307994,0.0008360645,0.0008316838,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,1.0001000100,1.0001000100,1.0003000900,1.0001000100,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0008325424,0.0008307994,0.0008334514,0.0008331181,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,1.0001000100,1.0001000100,1.0003000900,1.0002000400,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0008343276,0.0008313589,0.0008382722,0.0008314003,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,1.0001000100,1.0001000100,1.0004001601,1.0003000900,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0008327851,0.0008210585,0.0008332847,0.0008240015,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,1.0003000900,1.0001000100,1.0004001601,1.0003000900,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0008245383,0.0008177885,0.0008245383,0.0008219223,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,1.0003000900,1.0001000100,1.0003000900,1.0001000100,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0008214025,0.0008196184,0.0008235604,0.0008207620,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,1.0001000100,1.0000000000,1.0002000400,1.0000000000,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
