DOTADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DOTXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0174900000,0.0175500000,0.0173900000,0.0175200000,8422.9100000000,1672545599999,146.9251668000,312,6240.7700000000,108.8689076000,1672531200000,0.0002605000,0.0002607000,0.0002587000,0.0002601000,28454.2600000000,1672545599999,7.3904347000,924,12943.5900000000,3.3621643300,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,0.0036040000,0.0036050000,0.0035800000,0.0036020000,387.8200000000,1672545599999,1.3938954000,55,252.3900000000,0.9086654800,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,4.3080000000,4.3130000000,4.2750000000,4.3020000000,306069.5800000000,1672545599999,1313742.1528300000,3582,137493.7500000000,590184.9158800000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0175300000,0.0176400000,0.0175200000,0.0176400000,3147.1300000000,1672559999999,55.3324726000,148,2446.2600000000,43.0099018000,1672545600000,0.0002601000,0.0002605000,0.0002591000,0.0002604000,23358.6700000000,1672559999999,6.0672837900,642,14311.6500000000,3.7166068400,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,0.0035900000,0.0036070000,0.0035810000,0.0035990000,1566.0600000000,1672559999999,5.6378730000,39,588.3600000000,2.1198682000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,4.3010000000,4.3080000000,4.2780000000,4.3040000000,161517.0600000000,1672559999999,693535.5074900000,2448,82096.5600000000,352541.5499700000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0176400000,0.0177800000,0.0176100000,0.0177300000,5847.8400000000,1672574399999,103.4782434000,149,5078.1400000000,89.8677117000,1672560000000,0.0002605000,0.0002624000,0.0002598000,0.0002619000,31029.8100000000,1672574399999,8.1040085300,901,18330.4200000000,4.7875573300,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,0.0035930000,0.0036300000,0.0035890000,0.0036230000,792.6200000000,1672574399999,2.8552114200,76,279.3100000000,1.0075755100,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,4.3040000000,4.3440000000,4.2880000000,4.3360000000,284256.0200000000,1672574399999,1227593.0872899999,3604,173759.1900000000,750580.4606200000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0177500000,0.0177600000,0.0176800000,0.0177300000,2299.8900000000,1672588799999,40.7670187000,135,1227.4600000000,21.7705752000,1672574400000,0.0002620000,0.0002622000,0.0002609000,0.0002619000,15835.9400000000,1672588799999,4.1411413000,596,8643.9900000000,2.2604677100,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,0.0036140000,0.0036260000,0.0036120000,0.0036260000,485.8600000000,1672588799999,1.7581346900,28,253.5000000000,0.9180145600,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,4.3370000000,4.3420000000,4.3170000000,4.3390000000,131109.7900000000,1672588799999,567583.7482800001,2073,50655.9900000000,219322.9796300000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0177500000,0.0178400000,0.0177100000,0.0177600000,4383.8200000000,1672603199999,77.9244975000,167,1935.8700000000,34.4306859000,1672588800000,0.0002620000,0.0002635000,0.0002616000,0.0002623000,23589.8200000000,1672603199999,6.1942732600,786,13209.7700000000,3.4679314800,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,0.0036240000,0.0036370000,0.0036140000,0.0036220000,1839.5400000000,1672603199999,6.6728328500,63,1238.7900000000,4.4938473900,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,4.3390000000,4.3780000000,4.3330000000,4.3550000000,206621.5000000000,1672603199999,900217.1824900000,3496,95647.8600000000,416589.6119200000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0177600000,0.0179300000,0.0177400000,0.0178900000,8701.0700000000,1672617599999,155.4245328000,231,6413.2000000000,114.5652023000,1672603200000,0.0002623000,0.0002642000,0.0002623000,0.0002630000,28350.7200000000,1672617599999,7.4655504400,892,15928.4600000000,4.1947427900,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,0.0036290000,0.0036460000,0.0036230000,0.0036410000,1904.7100000000,1672617599999,6.9291018800,73,1035.4800000000,3.7669901000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,4.3560000000,4.3870000000,4.3560000000,4.3710000000,252169.7500000000,1672617599999,1102269.0638400000,2941,143265.7700000000,626200.2431100000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0178900000,0.0182400000,0.0178400000,0.0182300000,13265.9200000000,1672631999999,239.1708887000,598,8606.7700000000,155.2758106000,1672617600000,0.0002630000,0.0002670000,0.0002607000,0.0002667000,66865.3700000000,1672631999999,17.6628875800,2329,36133.4700000000,9.5476314100,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,0.0036400000,0.0037010000,0.0036130000,0.0036920000,2176.1900000000,1672631999999,7.9697617000,175,1463.7300000000,5.3716699800,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,4.3710000000,4.4520000000,4.3160000000,4.4420000000,816742.0100000000,1672631999999,3582044.2233000002,9141,444830.6600000000,1951479.7466000000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0182400000,0.0183500000,0.0181200000,0.0181600000,11423.3200000000,1672646399999,208.1088767000,598,5327.1900000000,97.1088242000,1672632000000,0.0002666000,0.0002686000,0.0002660000,0.0002675000,93846.0100000000,1672646399999,25.1040181300,2402,48571.9700000000,12.9972784700,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,0.0037000000,0.0037240000,0.0036620000,0.0036890000,6326.5400000000,1672646399999,23.3811338500,207,2113.0800000000,7.8168294100,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,4.4420000000,4.4940000000,4.4240000000,4.4720000000,991435.3700000000,1672646399999,4420969.6167500000,10107,519586.5300000000,2317298.9844399998,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0181500000,0.0182600000,0.0181300000,0.0181700000,5799.4000000000,1672660799999,105.4802737000,287,3086.5800000000,56.1633788000,1672646400000,0.0002675000,0.0002706000,0.0002674000,0.0002681000,64335.6300000000,1672660799999,17.2873328400,1722,34112.4900000000,9.1706028100,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,0.0036890000,0.0037100000,0.0036740000,0.0036880000,2544.2900000000,1672660799999,9.3952665900,110,1115.8900000000,4.1221685300,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,4.4730000000,4.5210000000,4.4720000000,4.4880000000,488976.7200000000,1672660799999,2198094.9966600002,6276,284349.8800000000,1278404.6717800000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0181600000,0.0182600000,0.0181400000,0.0182300000,4562.1500000000,1672675199999,83.0296821000,215,3301.5500000000,60.1185071000,1672660800000,0.0002681000,0.0002695000,0.0002679000,0.0002689000,51823.3000000000,1672675199999,13.9230620200,1283,22158.4200000000,5.9534393100,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,0.0036900000,0.0036990000,0.0036780000,0.0036890000,1416.3000000000,1672675199999,5.2237496500,63,639.5000000000,2.3599682400,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,4.4870000000,4.5140000000,4.4700000000,4.4990000000,242655.3600000000,1672675199999,1089257.6952100000,3938,127636.5900000000,573003.6698900000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
