ETHADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,ETHXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,4868.5491723466,4854.3689320388,4889.9755501222,4866.1800486618,,1672545599999,,,,,1672531200000,110.2535832415,110.0110011001,110.3752759382,110.3752759382,,1672545599999,,,,,1672531200000,0.2060000000,0.2064000000,0.2052000000,0.2054000000,780.5270000000,1672545599999,160.5063955000,695,347.1690000000,71.4258745000,1672531200000,0.0722990000,0.0723560000,0.0721300000,0.0722140000,5625.8900000000,1672545599999,406.4815772200,11169,2766.9075000000,199.9159078200,1672531200000,1195.6700000000,1195.8900000000,1190.5200000000,1191.8700000000,91.9947000000,1672545599999,109716.4538970000,199,9.7104000000,11591.5422660000,1672531200000,277.4694783574,277.3925104022,279.3296089385,277.6235424764,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,214.6844139116,214.4082332762,216.4970772895,214.9151085321,,1672545599999,,,,,1672531200000,17.0532060027,17.0357751278,17.2771250864,17.1880371262,,1672545599999,,,,,1672531200000,1577.5358889415,1577.5358889415,1594.6420028704,1587.5535799333,,1672545599999,,,,,1672531200000,119.9040767386,118.6239620403,120.3369434416,119.9040767386,,1672545599999,,,,,1672531200000,21953.8968166850,21772.2621380361,21953.8968166850,21805.4949847362,,1672545599999,,,,,1672531200000,1196.1300000000,1196.7400000000,1191.7100000000,1194.0400000000,20292.0602000000,1672545599999,24235943.6622780003,42698,9315.9832000000,11125588.9595480002,1672531200000,16863.4064080944,16806.7226890756,16863.4064080944,16835.0168350168,,1672545599999,,,,,1672531200000,3531.0734463277,3526.0930888575,3547.3572188719,3531.0734463277,,1672545599999,,,,
1672545600000,4863.8132295720,4863.8132295720,4887.5855327468,4875.6704046806,,1672559999999,,,,,1672545600000,110.4972375691,110.3752759382,111.7318435754,111.4827201784,,1672559999999,,,,,1672545600000,0.2054000000,0.2055000000,0.2041000000,0.2041000000,620.6940000000,1672559999999,126.9269789000,743,340.1780000000,69.5260826000,1672545600000,0.0722020000,0.0723330000,0.0721100000,0.0723200000,4435.8494000000,1672559999999,320.4265642300,8226,2234.4774000000,161.4032286300,1672545600000,1192.9900000000,1194.9600000000,1191.3500000000,1194.9600000000,14.0034000000,1672559999999,16707.3001160000,108,11.1090000000,13253.0549610000,1672545600000,278.5515320334,277.2387025229,279.2516056967,277.8549597110,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,214.9151085321,214.9151085321,216.4502164502,216.0760587727,,1672559999999,,,,,1672545600000,17.1791788353,17.1673819742,17.3100225030,17.1969045572,,1672559999999,,,,,1672545600000,1587.5535799333,1583.7820715869,1595.1507417451,1587.3015873016,,1672559999999,,,,,1672545600000,119.7604790419,119.6172248804,123.0012300123,122.1001221001,,1672559999999,,,,,1672545600000,21800.7412252017,21777.0034843206,21915.4065307911,21896.2119553317,,1672559999999,,,,,1672545600000,1194.0500000000,1195.7500000000,1190.5700000000,1195.0600000000,18654.4594000000,1672559999999,22266780.8879170008,40182,9478.7993000000,11315101.2561099995,1672545600000,16778.5234899329,16750.4187604690,16863.4064080944,16835.0168350168,,1672559999999,,,,,1672545600000,3529.8270384751,3524.8501938668,3557.4528637496,3547.3572188719,,1672559999999,,,,
1672560000000,4873.2943469786,4861.4487117161,4901.9607843137,4866.1800486618,,1672574399999,,,,,1672560000000,111.6071428571,111.1111111111,111.9820828667,111.1111111111,,1672574399999,,,,,1672560000000,0.2041000000,0.2043000000,0.2037000000,0.2041000000,513.3610000000,1672574399999,104.7640112000,619,170.2050000000,34.7516490000,1672560000000,0.0723210000,0.0723700000,0.0722580000,0.0722650000,3927.9625000000,1672574399999,284.0895644200,7922,1836.1146000000,132.8027301800,1672560000000,1194.8700000000,1197.2600000000,1193.6800000000,1195.2400000000,4.0016000000,1672574399999,4784.2719970000,33,1.4177000000,1695.4459800000,1672560000000,278.3189535207,275.4820936639,278.6291446085,276.0143527463,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,216.0760587727,214.1786249732,216.7786689790,214.5922746781,,1672574399999,,,,,1672560000000,17.1939477304,16.9348010161,17.2146668962,17.0386777986,,1672574399999,,,,,1672560000000,1587.0496746548,1579.0304752882,1588.0578053041,1579.2798483891,,1672574399999,,,,,1672560000000,122.1001221001,119.9040767386,123.1527093596,120.1923076923,,1672574399999,,,,,1672560000000,21901.0074463425,21843.5998252512,21958.7176108915,21853.1468531469,,1672574399999,,,,,1672560000000,1195.0700000000,1197.4100000000,1193.9800000000,1196.3400000000,10749.1851000000,1672574399999,12852377.7337120008,31262,5393.9211000000,6448997.8661860004,1672560000000,16835.0168350168,16638.9351081531,16835.0168350168,16638.9351081531,,1672574399999,,,,,1672560000000,3547.3572188719,3534.8179568752,3549.8757543486,3534.8179568752,,1672574399999,,,,
1672574400000,4861.4487117161,4856.7265662943,4875.6704046806,4863.8132295720,,1672588799999,,,,,1672574400000,111.2347052280,110.9877913430,111.4827201784,111.2347052280,,1672588799999,,,,,1672574400000,0.2041000000,0.2045000000,0.2036000000,0.2043000000,756.2620000000,1672588799999,154.4219669000,829,304.3010000000,62.1794204000,1672574400000,0.0722640000,0.0723380000,0.0721730000,0.0722770000,4847.1848000000,1672588799999,350.2261871100,7692,2745.8976000000,198.4093749600,1672574400000,1196.6800000000,1197.5800000000,1193.8200000000,1196.2500000000,6.3131000000,1672588799999,7546.2855800000,42,2.4902000000,2979.2008880000,1672574400000,276.7017155506,275.7859900717,276.8549280177,275.7859900717,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,214.3622722401,213.7665669089,215.2389151959,213.8122728245,,1672588799999,,,,,1672574400000,17.0386777986,16.9577751399,17.1673819742,16.9952413324,,1672588799999,,,,,1672574400000,1579.7788309637,1576.2925598991,1584.0329478853,1578.2828282828,,1672588799999,,,,,1672574400000,120.4819277108,120.1923076923,121.8026796590,121.3592233010,,1672588799999,,,,,1672574400000,21848.3722962639,21777.0034843206,21915.4065307911,21824.5307725884,,1672588799999,,,,,1672574400000,1196.3500000000,1198.5000000000,1193.5400000000,1196.8100000000,15490.8573000000,1672588799999,18524406.0382190011,35644,7358.6782000000,8800002.4407410007,1672574400000,16638.9351081531,16556.2913907285,16666.6666666667,16611.2956810631,,1672588799999,,,,,1672574400000,3536.0678925035,3528.5815102329,3623.1884057971,3552.3978685613,,1672588799999,,,,
1672588800000,4859.0864917396,4821.6007714561,4859.0864917396,4840.2710551791,,1672603199999,,,,,1672588800000,111.2347052280,110.3752759382,111.6071428571,110.3752759382,,1672603199999,,,,,1672588800000,0.2043000000,0.2046000000,0.2037000000,0.2041000000,609.3460000000,1672603199999,124.3830058000,693,203.1260000000,41.4783127000,1672588800000,0.0722720000,0.0725000000,0.0722060000,0.0723750000,5366.2207000000,1672603199999,388.3896844100,10513,2778.8812000000,201.1108911100,1672588800000,1196.2500000000,1203.6600000000,1196.0800000000,1202.3800000000,32.9418000000,1672603199999,39533.2952190000,111,24.1793000000,29011.9007680000,1672588800000,275.9381898455,274.9518834204,276.7017155506,276.0905577029,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,213.7208805300,213.3105802048,214.6844139116,214.4082332762,,1672603199999,,,,,1672588800000,16.9923534410,16.8010752688,17.0532060027,16.9405387091,,1672603199999,,,,,1672588800000,1577.0383220312,1576.5410688948,1586.2944162437,1581.5277558121,,1672603199999,,,,,1672588800000,121.3592233010,119.7604790419,121.5066828676,120.6272617612,,1672603199999,,,,,1672588800000,21819.7687104517,21772.2621380361,21929.8245614035,21915.4065307911,,1672603199999,,,,,1672588800000,1196.8100000000,1204.5100000000,1195.8800000000,1201.7800000000,31016.5151000000,1672603199999,37231276.8104619980,46087,17219.7949000000,20666788.7104570009,1672588800000,16611.2956810631,16583.7479270315,16722.4080267559,16611.2956810631,,1672603199999,,,,,1672588800000,3552.3978685613,3534.8179568752,3558.7188612100,3546.0992907801,,1672603199999,,,,
1672603200000,4835.5899419729,4805.3820278712,4840.2710551791,4805.3820278712,,1672617599999,,,,,1672603200000,110.2535832415,109.8901098901,110.7419712071,110.4972375691,,1672617599999,,,,,1672603200000,0.2040000000,0.2043000000,0.2031000000,0.2035000000,547.4110000000,1672617599999,111.4921338000,695,214.5880000000,43.7194605000,1672603200000,0.0723750000,0.0724830000,0.0722290000,0.0722380000,5222.8224000000,1672617599999,378.0261434300,9343,2840.3091000000,205.6161420500,1672603200000,1201.1400000000,1203.6600000000,1199.8300000000,1200.3100000000,12.6775000000,1672617599999,15237.7255760000,70,4.3238000000,5196.7690720000,1672603200000,275.5580049600,274.2731760834,276.0143527463,274.6498214776,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,214.3622722401,213.2650885050,214.3622722401,213.3105802048,,1672617599999,,,,,1672603200000,16.9491525424,16.8123739072,17.0415814588,16.9204737733,,1672617599999,,,,,1672603200000,1580.2781289507,1577.7847901546,1587.0496746548,1578.7811809283,,1672617599999,,,,,1672603200000,120.4819277108,119.6172248804,120.7729468599,120.1923076923,,1672617599999,,,,,1672603200000,21905.8050383352,21877.0509735288,21982.8533743680,21905.8050383352,,1672617599999,,,,,1672603200000,1201.7700000000,1204.6700000000,1199.3600000000,1200.3400000000,21558.9914000000,1672617599999,25904211.5231200010,37278,11288.3240000000,13562201.1957629994,1672603200000,16611.2956810631,16447.3684210526,16666.6666666667,16556.2913907285,,1672617599999,,,,,1672603200000,3542.3308537017,3542.3308537017,3556.1877667141,3544.8422545197,,1672617599999,,,,
1672617600000,4803.0739673391,4793.8638542665,4844.9612403101,4807.6923076923,,1672631999999,,,,,1672617600000,110.6194690265,110.1321585903,111.4827201784,110.6194690265,,1672631999999,,,,,1672617600000,0.2036000000,0.2037000000,0.2015000000,0.2029000000,1797.5940000000,1672631999999,364.2480037000,1502,502.1120000000,101.7669863000,1672617600000,0.0722380000,0.0722650000,0.0720710000,0.0721360000,7128.5905000000,1672631999999,514.3660104100,10610,2789.7740000000,201.3429032400,1672617600000,1198.5700000000,1202.8500000000,1192.9300000000,1202.7900000000,29.4235000000,1672631999999,35280.2907140000,96,21.9267000000,26324.5483760000,1672617600000,274.7252747253,270.1972439881,276.7783005812,270.8559046587,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,213.2196162047,212.1790791428,215.3779883696,213.4471718250,,1672631999999,,,,,1672617600000,16.9290672084,16.8890390137,17.0561146171,16.9692855931,,1672631999999,,,,,1672617600000,1578.7811809283,1578.5319652723,1594.3877551020,1590.0779138178,,1672631999999,,,,,1672617600000,120.4819277108,120.0480192077,121.6545012165,120.0480192077,,1672631999999,,,,,1672617600000,21905.8050383352,21829.2949137743,22016.7327168648,22016.7327168648,,1672631999999,,,,,1672617600000,1200.3300000000,1203.5300000000,1193.0000000000,1201.9400000000,32154.2478000000,1672631999999,38502953.7293640003,47332,14939.0070000000,17887336.6422789991,1672617600000,16528.9256198347,16528.9256198347,16835.0168350168,16611.2956810631,,1672631999999,,,,,1672617600000,3543.5861091425,3531.0734463277,3987.2408293461,3657.6444769568,,1672631999999,,,,
1672632000000,4807.6923076923,4750.5938242280,4819.2771084337,4770.9923664122,,1672646399999,,,,,1672632000000,110.8647450111,108.1081081081,110.8647450111,108.9324618736,,1672646399999,,,,,1672632000000,0.2027000000,0.2036000000,0.2024000000,0.2031000000,1007.7610000000,1672646399999,204.5454086000,848,662.6130000000,134.5242052000,1672632000000,0.0721360000,0.0727220000,0.0720910000,0.0725430000,10265.6311000000,1672646399999,742.9705748400,19149,5391.9890000000,390.2701104400,1672632000000,1200.7900000000,1217.9400000000,1200.0700000000,1213.5900000000,110.0197000000,1672646399999,133167.8966410000,328,89.5071000000,108345.7753310000,1672632000000,270.2702702703,268.5284640172,273.0748225014,271.0761724044,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,213.6752136752,212.0890774125,214.3622722401,213.4471718250,,1672646399999,,,,,1672632000000,16.9635284139,15.5933260564,17.0969396478,16.2311313099,,1672646399999,,,,,1672632000000,1590.0779138178,1571.5857300016,1593.8795027096,1575.0511891636,,1672646399999,,,,,1672632000000,120.0480192077,100.7049345418,120.7729468599,109.2896174863,,1672646399999,,,,,1672632000000,22021.5811495265,21968.3655536028,22172.9490022173,22153.3008418254,,1672646399999,,,,,1672632000000,1201.9400000000,1220.0000000000,1199.8700000000,1213.0900000000,66008.5222000000,1672646399999,79870980.2715719938,72579,38382.6940000000,46443752.1550119966,1672632000000,16666.6666666667,16556.2913907285,16750.4187604690,16722.4080267559,,1672646399999,,,,,1672632000000,3660.3221083455,3573.9814152966,3677.8227289445,3594.5363048167,,1672646399999,,,,
1672646400000,4768.7172150691,4748.3380816714,4807.6923076923,4789.2720306513,,1672660799999,,,,,1672646400000,109.1703056769,108.4598698482,109.5290251917,109.1703056769,,1672660799999,,,,,1672646400000,0.2032000000,0.2037000000,0.2024000000,0.2029000000,874.3100000000,1672660799999,177.4610582000,998,465.5120000000,94.5090898000,1672646400000,0.0725440000,0.0730180000,0.0724820000,0.0727350000,11415.9228000000,1672660799999,830.5415224800,21255,5748.7017000000,418.2541719600,1672646400000,1212.8000000000,1222.8100000000,1212.8000000000,1216.6600000000,42.1369000000,1672660799999,51383.7544360000,150,31.2719000000,38155.9666460000,1672646400000,271.0761724044,269.5417789757,272.1829069134,271.1496746204,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,213.5383301303,212.4495432335,214.5462347136,213.8122728245,,1672660799999,,,,,1672646400000,16.2127107652,15.9923236846,16.2813415825,16.1733786188,,1672660799999,,,,,1672646400000,1575.0511891636,1554.0015540016,1575.0511891636,1563.2327653588,,1672660799999,,,,,1672646400000,109.4091903720,107.0663811563,111.9820828667,110.4972375691,,1672660799999,,,,,1672646400000,22158.2096166630,21915.4065307911,22168.0336954112,21958.7176108915,,1672660799999,,,,,1672646400000,1213.0800000000,1224.2900000000,1212.7400000000,1217.3500000000,66284.4263000000,1672660799999,80742427.9383780062,71855,27447.2335000000,33422571.0272409990,1672646400000,16666.6666666667,16583.7479270315,16778.5234899329,16694.4908180301,,1672660799999,,,,,1672646400000,3590.6642728905,3503.8542396636,3590.6642728905,3533.5689045936,,1672660799999,,,,
1672660800000,4789.2720306513,4782.4007651841,4812.3195380173,4786.9794159885,,1672675199999,,,,,1672660800000,109.0512540894,108.8139281828,109.4091903720,108.9324618736,,1672675199999,,,,,1672660800000,0.2029000000,0.2033000000,0.2019000000,0.2026000000,872.4430000000,1672675199999,176.7896488000,1108,294.4430000000,59.7234030000,1672660800000,0.0727340000,0.0729620000,0.0727140000,0.0728440000,9198.6041000000,1672675199999,669.7819399800,14342,4983.0889000000,362.7434442100,1672660800000,1217.4300000000,1220.0800000000,1214.2400000000,1218.3800000000,33.0480000000,1672675199999,40232.4101120000,147,21.0320000000,25604.8203560000,1672660800000,271.0027100271,270.3433360368,271.8868950517,271.0761724044,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,213.6295663320,213.2650885050,214.7766323024,213.8122728245,,1672675199999,,,,,1672660800000,16.1576991436,15.8077774265,16.2206001622,16.2153397114,,1672675199999,,,,,1672660800000,1562.5000000000,1551.3496742166,1565.6802880852,1552.7950310559,,1672675199999,,,,,1672660800000,110.3752759382,108.6956521739,110.6194690265,109.6491228070,,1672675199999,,,,,1672660800000,21973.1927049000,21963.5405227323,22094.5647370747,22050.7166482911,,1672675199999,,,,,1672660800000,1217.3500000000,1220.9800000000,1214.0400000000,1219.0000000000,36928.9083000000,1672675199999,44953561.3779679984,53136,18893.7658000000,23001232.7265430018,1672660800000,16638.9351081531,16583.7479270315,16722.4080267559,16583.7479270315,,1672675199999,,,,,1672660800000,3533.5689045936,3459.0107229332,3553.6602700782,3472.2222222222,,1672675199999,,,,
