LINKADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LINKXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0224500000,0.0226500000,0.0224500000,0.0226100000,600.9760000000,1672545599999,13.5170749100,13,428.0180000000,9.6167909100,1672531200000,0.0003370000,0.0003374000,0.0003341000,0.0003357000,36013.4400000000,1672545599999,12.0774272800,1118,16311.0700000000,5.4714833300,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0046580000,0.0046640000,0.0046190000,0.0046530000,6572.5900000000,1672545599999,30.5195000400,494,3094.6000000000,14.3747822200,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,5.5750000000,5.5800000000,5.5160000000,5.5520000000,404719.3000000000,1672545599999,2243887.5769000002,5616,203805.9000000000,1130278.9231000000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0226000000,0.0227200000,0.0225400000,0.0225400000,2293.1860000000,1672559999999,52.0546363700,27,2235.3290000000,50.7489994900,1672545600000,0.0003359000,0.0003360000,0.0003335000,0.0003347000,18567.9000000000,1672559999999,6.2132596600,805,8727.6400000000,2.9203922000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0046530000,0.0046530000,0.0046200000,0.0046280000,5046.4700000000,1672559999999,23.3884501600,393,1416.2200000000,6.5632891900,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,5.5510000000,5.5540000000,5.5050000000,5.5300000000,226602.9300000000,1672559999999,1253249.9742099999,4495,92138.6600000000,509501.3993800000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0227200000,0.0228900000,0.0227000000,0.0228600000,972.4030000000,1672574399999,22.1361225500,33,732.1130000000,16.6566645000,1672560000000,0.0003346000,0.0003378000,0.0003337000,0.0003369000,30038.5300000000,1672574399999,10.0965573900,1055,16548.2800000000,5.5669291500,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0046280000,0.0046690000,0.0046130000,0.0046600000,7188.9800000000,1672574399999,33.3869163600,500,4206.6500000000,19.5467024000,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,5.5290000000,5.5900000000,5.5120000000,5.5770000000,258702.2400000000,1672574399999,1437249.1743600001,5247,151643.3300000000,842740.6288400000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0227900000,0.0229700000,0.0227300000,0.0228600000,543.3650000000,1672588799999,12.3923207200,31,236.5320000000,5.4091160500,1672574400000,0.0003369000,0.0003381000,0.0003356000,0.0003379000,16478.8200000000,1672588799999,5.5450937700,668,7763.8700000000,2.6130994100,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0046650000,0.0046780000,0.0046460000,0.0046770000,7606.3400000000,1672588799999,35.4492359400,444,3436.4900000000,16.0264426500,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,5.5770000000,5.6010000000,5.5530000000,5.5950000000,193399.0600000000,1672588799999,1077785.3901600000,4002,101566.2100000000,566202.1437100000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0228600000,0.0230400000,0.0228300000,0.0229100000,558.7850000000,1672603199999,12.7969810100,21,485.6360000000,11.1239484100,1672588800000,0.0003379000,0.0003394000,0.0003371000,0.0003376000,28162.7900000000,1672603199999,9.5215280800,954,14726.2700000000,4.9791113300,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0046790000,0.0046880000,0.0046580000,0.0046640000,6941.1600000000,1672603199999,32.4366878600,486,2347.7400000000,10.9818901800,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,5.5950000000,5.6360000000,5.5830000000,5.6050000000,217688.9600000000,1672603199999,1221645.6101400000,4097,109797.5700000000,615895.7420600000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0229100000,0.0231500000,0.0228700000,0.0230300000,120.4790000000,1672617599999,2.7701434200,18,70.8560000000,1.6304287900,1672603200000,0.0003377000,0.0003394000,0.0003376000,0.0003387000,18634.4500000000,1672617599999,6.3087078300,619,9910.8100000000,3.3550479900,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0046650000,0.0046890000,0.0046650000,0.0046880000,4049.6900000000,1672617599999,18.9454679200,324,2708.3900000000,12.6731624900,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,5.6060000000,5.6400000000,5.6060000000,5.6280000000,166958.1800000000,1672617599999,938663.3126200000,3213,75440.7400000000,424109.5348100000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0230700000,0.0231800000,0.0229500000,0.0230300000,224.5140000000,1672631999999,5.1741712500,17,63.1220000000,1.4574926200,1672617600000,0.0003388000,0.0003405000,0.0003353000,0.0003378000,49031.0900000000,1672631999999,16.5313432500,1772,23387.8700000000,7.8840727600,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0046900000,0.0047130000,0.0046430000,0.0046850000,13492.3800000000,1672631999999,63.0373621700,866,6477.0300000000,30.2718672300,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,5.6300000000,5.6620000000,5.5480000000,5.6260000000,443462.3600000000,1672631999999,2478936.8811400002,7874,228878.7200000000,1279161.9690600000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0231400000,0.0232000000,0.0230400000,0.0231300000,114.8830000000,1672646399999,2.6566057700,21,65.9780000000,1.5271203100,1672632000000,0.0003376000,0.0003422000,0.0003367000,0.0003398000,72434.4500000000,1672646399999,24.5866249800,2310,37331.7400000000,12.6760018800,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0046800000,0.0047150000,0.0046650000,0.0046850000,21944.9800000000,1672646399999,102.9136200000,819,6689.8700000000,31.3759814500,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,5.6280000000,5.7390000000,5.6000000000,5.6830000000,517869.5400000000,1672646399999,2935513.6285799998,9599,270706.2600000000,1534316.0667200000,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0230400000,0.0232500000,0.0229900000,0.0230400000,269.0190000000,1672660799999,6.2170941700,30,182.1700000000,4.2152822600,1672646400000,0.0003398000,0.0003415000,0.0003388000,0.0003404000,39707.6000000000,1672660799999,13.5170063900,1423,22774.9100000000,7.7539049700,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0046830000,0.0047070000,0.0046610000,0.0046770000,8786.3000000000,1672660799999,41.1467281600,688,4099.2300000000,19.2091243500,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,5.6840000000,5.7250000000,5.6590000000,5.6950000000,512232.9900000000,1672660799999,2917618.3523100000,8416,252913.5000000000,1440938.2666900000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0230800000,0.0232200000,0.0229700000,0.0231300000,146.9030000000,1672675199999,3.3866636200,12,81.8830000000,1.8905563900,1672660800000,0.0003404000,0.0003413000,0.0003390000,0.0003408000,28723.4800000000,1672675199999,9.7735905700,1255,13874.6200000000,4.7217852700,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0046810000,0.0046890000,0.0046560000,0.0046770000,12842.2000000000,1672675199999,59.9533734200,1257,5124.1300000000,23.9395861100,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,5.6950000000,5.7160000000,5.6550000000,5.7020000000,458779.9900000000,1672675199999,2609397.8320200001,9775,222070.5000000000,1263509.9251000001,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
