LTCADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,LTCXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.2849000000,0.2851000000,0.2813000000,0.2833000000,577.1920000000,1672545599999,163.4352961000,384,245.2540000000,69.4827230000,1672531200000,0.0042400000,0.0042470000,0.0041830000,0.0042020000,7216.5680000000,1672545599999,30.3550092500,2852,3213.3610000000,13.5162946100,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0586400000,0.0587000000,0.0578800000,0.0581800000,961.8950000000,1672545599999,55.8730780900,481,581.9910000000,33.7840340200,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,70.1400000000,70.2400000000,69.1400000000,69.4600000000,89455.4440000000,1672545599999,6223169.4136399999,11452,39463.8900000000,2746382.6072900002,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.2832000000,0.2848000000,0.2828000000,0.2848000000,188.5440000000,1672559999999,53.5343855000,153,118.6690000000,33.7015496000,1672545600000,0.0042020000,0.0042070000,0.0041720000,0.0042060000,3585.5830000000,1672559999999,15.0385024900,1681,1619.3370000000,6.7923385200,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0582100000,0.0582500000,0.0577700000,0.0581500000,326.2560000000,1672559999999,18.9401908000,292,162.7300000000,9.4547732600,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,69.4600000000,69.5500000000,68.9100000000,69.5100000000,37094.7450000000,1672559999999,2569520.1719800001,6548,14300.8680000000,991256.8446400000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.2848000000,0.2892000000,0.2845000000,0.2871000000,487.2250000000,1672574399999,139.9631787000,410,248.1660000000,71.2912187000,1672560000000,0.0042060000,0.0042720000,0.0042000000,0.0042410000,7808.0110000000,1672574399999,33.1234389200,3460,3929.2690000000,16.6641775400,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0581600000,0.0590500000,0.0580900000,0.0586900000,628.2250000000,1672574399999,36.8560353800,588,422.7690000000,24.8001467700,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,69.5200000000,70.6500000000,69.3800000000,70.2200000000,95368.8420000000,1672574399999,6685455.6330000004,14871,52864.3300000000,3705485.1361900000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.2875000000,0.2885000000,0.2852000000,0.2879000000,580.2380000000,1672588799999,166.7283007000,318,194.7390000000,55.9339664000,1672574400000,0.0042410000,0.0042630000,0.0042060000,0.0042490000,6867.6340000000,1672588799999,29.0560888600,2715,3583.2010000000,15.1613909100,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0586900000,0.0589700000,0.0582500000,0.0588400000,1322.3830000000,1672588799999,77.4563497100,436,230.2520000000,13.4895217800,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,70.2100000000,70.5300000000,69.5600000000,70.3700000000,72768.4860000000,1672588799999,5099329.6107599996,11409,38154.2640000000,2674765.7891600002,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.2877000000,0.2918000000,0.2868000000,0.2893000000,571.9630000000,1672603199999,165.3764581000,479,259.2950000000,75.0897300000,1672588800000,0.0042500000,0.0043150000,0.0042370000,0.0042730000,11880.7660000000,1672603199999,50.7829666200,4143,5507.9320000000,23.5577524900,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0588500000,0.0595200000,0.0586400000,0.0590300000,1237.4680000000,1672603199999,73.1651433900,677,525.3490000000,31.0772511400,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,70.3700000000,71.5500000000,70.1700000000,70.9300000000,129946.7410000000,1672603199999,9215742.4803599995,19244,65861.6280000000,4671250.7661899999,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.2891000000,0.2913000000,0.2885000000,0.2903000000,452.6710000000,1672617599999,131.1364423000,305,225.7340000000,65.4293554000,1672603200000,0.0042720000,0.0043050000,0.0042480000,0.0042660000,8148.4470000000,1672617599999,34.8769221900,2449,4897.6460000000,20.9773110600,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0590000000,0.0594800000,0.0586800000,0.0591000000,699.5850000000,1672617599999,41.3153652700,435,306.0880000000,18.0890346500,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,70.9300000000,71.4800000000,70.5300000000,70.9100000000,73190.1660000000,1672617599999,5190559.2769799996,11212,29242.9140000000,2074919.2807300000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.2904000000,0.2914000000,0.2868000000,0.2910000000,1031.9980000000,1672631999999,298.9109955000,482,410.5100000000,119.1724847000,1672617600000,0.0042660000,0.0042760000,0.0042290000,0.0042560000,8001.3610000000,1672631999999,33.9828380300,3097,3754.4350000000,15.9461793200,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0590700000,0.0592100000,0.0586300000,0.0589300000,751.5590000000,1672631999999,44.2250773900,507,271.0850000000,15.9612375400,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,70.9200000000,71.1100000000,70.0000000000,70.9000000000,93184.9910000000,1672631999999,6568247.9556999998,15783,47375.0330000000,3341467.8023799998,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.2905000000,0.3162000000,0.2884000000,0.3037000000,2081.8380000000,1672646399999,625.0790439000,1245,1442.5230000000,432.7777487000,1672632000000,0.0042550000,0.0046500000,0.0042200000,0.0044730000,24404.8770000000,1672646399999,107.6906952500,10008,14982.1470000000,66.3124681300,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0589500000,0.0641300000,0.0584900000,0.0616100000,4053.6400000000,1672646399999,248.0470605500,1892,2150.1650000000,131.7773574600,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,70.9000000000,77.9600000000,70.1900000000,74.8000000000,271536.8340000000,1672646399999,19994437.7451700009,47102,142181.7740000000,10471815.2803399991,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.3038000000,0.3075000000,0.3018000000,0.3048000000,535.6120000000,1672660799999,163.2621396000,680,253.3150000000,77.2861686000,1672646400000,0.0044730000,0.0045430000,0.0044570000,0.0044990000,23266.4640000000,1672660799999,104.8190858600,7020,12249.5600000000,55.2235148200,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0616800000,0.0625300000,0.0614200000,0.0618300000,2460.2110000000,1672660799999,152.3542317100,1301,1209.4140000000,74.9972436100,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,74.8100000000,76.0300000000,74.4600000000,75.2900000000,309728.5260000000,1672660799999,23321999.4005400017,44681,153002.0890000000,11525414.9823599998,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.3047000000,0.3122000000,0.3042000000,0.3044000000,546.4870000000,1672675199999,167.4999745000,594,293.0540000000,89.9410055000,1672660800000,0.0045000000,0.0046240000,0.0044880000,0.0044920000,16196.3950000000,1672675199999,73.2863791500,5878,8874.9600000000,40.2263564900,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0618900000,0.0632600000,0.0616500000,0.0616700000,2804.3010000000,1672675199999,174.6329356800,981,1506.2320000000,93.7938719900,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,75.3000000000,77.0900000000,75.0600000000,75.1600000000,196919.3560000000,1672675199999,14875812.5739999991,31837,92010.8850000000,6955274.7752000000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
