MATICADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,MATICXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0030780000,0.0030780000,0.0030490000,0.0030670000,34928.4000000000,1672545599999,106.9830484000,357,14359.6000000000,44.0054976000,1672531200000,0.0000458600,0.0000458600,0.0000453000,0.0000454800,428971.4000000000,1672545599999,19.5125878700,1983,187190.0000000000,8.5158740700,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0006339000,0.0006339000,0.0006271000,0.0006299000,112825.7000000000,1672545599999,71.0210231000,365,42317.2000000000,26.6395231600,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.7584000000,0.7584000000,0.7488000000,0.7520000000,4580863.5999999996,1672545599999,3445679.6748400000,9045,2318233.1000000001,1743693.8582899999,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0030660000,0.0030870000,0.0030610000,0.0030860000,23251.9000000000,1672559999999,71.4804070000,211,15415.4000000000,47.4201754000,1672545600000,0.0000454800,0.0000455800,0.0000452700,0.0000455600,254888.1000000000,1672559999999,11.5884206700,1149,132139.8000000000,6.0076342000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0006299000,0.0006314000,0.0006269000,0.0006300000,70273.7000000000,1672559999999,44.2390999000,241,29604.2000000000,18.6359136300,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.7520000000,0.7540000000,0.7477000000,0.7530000000,2834269.7000000002,1672559999999,2129146.3467600001,5783,1378321.6000000001,1035423.7532000000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0030860000,0.0031020000,0.0030840000,0.0031010000,24806.8000000000,1672574399999,76.8136534000,207,19013.1000000000,58.8845381000,1672560000000,0.0000455600,0.0000458000,0.0000455500,0.0000457400,232396.1000000000,1672574399999,10.6136543300,1091,122097.1000000000,5.5759250100,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0006301000,0.0006333000,0.0006297000,0.0006332000,67785.4000000000,1672574399999,42.8414486900,242,35277.3000000000,22.2928616400,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.7529000000,0.7580000000,0.7524000000,0.7572000000,2399072.2000000002,1672574399999,1811805.9534499999,5303,1177029.7000000000,888841.6283600000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0031010000,0.0031080000,0.0030890000,0.0030980000,36884.6000000000,1672588799999,114.2426953000,233,16917.3000000000,52.4271787000,1672574400000,0.0000457500,0.0000458400,0.0000455700,0.0000458100,239155.9000000000,1672588799999,10.9287984500,1004,131578.1000000000,6.0130753700,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0006330000,0.0006344000,0.0006313000,0.0006336000,95625.3000000000,1672588799999,60.5183426800,358,48529.6000000000,30.7106570000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.7572000000,0.7596000000,0.7538000000,0.7585000000,2266480.0000000000,1672588799999,1714909.6947600001,5346,1094322.6000000001,827948.2581400000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0031010000,0.0031060000,0.0030900000,0.0030970000,34799.4000000000,1672603199999,107.8321790000,229,12300.8000000000,38.1421072000,1672588800000,0.0000458100,0.0000459100,0.0000456200,0.0000457700,281366.3000000000,1672603199999,12.8887664300,1136,141269.0000000000,6.4727054600,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0006341000,0.0006343000,0.0006304000,0.0006323000,134344.1000000000,1672603199999,85.0164216300,466,66806.5000000000,42.2732554900,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.7585000000,0.7619000000,0.7558000000,0.7598000000,3615503.7999999998,1672603199999,2747045.5967500000,7032,1761016.1000000001,1337949.5026900000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0031010000,0.0031170000,0.0030910000,0.0031120000,29004.4000000000,1672617599999,89.9626245000,255,17117.9000000000,53.1273922000,1672603200000,0.0000457700,0.0000458800,0.0000455800,0.0000457500,247761.5000000000,1672617599999,11.3287995000,1088,109032.1000000000,4.9871068300,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0006328000,0.0006338000,0.0006301000,0.0006334000,77943.6000000000,1672617599999,49.2656256800,275,38230.4000000000,24.1633205500,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.7599000000,0.7627000000,0.7566000000,0.7603000000,2825355.2000000002,1672617599999,2145944.7330200002,5471,1395187.8000000000,1059768.1631600000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0031110000,0.0031190000,0.0030960000,0.0031000000,49012.5000000000,1672631999999,152.2164791000,300,23127.8000000000,71.8537420000,1672617600000,0.0000457500,0.0000457800,0.0000452100,0.0000453700,413251.5000000000,1672631999999,18.7604403500,2339,188620.0000000000,8.5621243200,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0006334000,0.0006335000,0.0006272000,0.0006289000,118368.1000000000,1672631999999,74.4910152000,406,57894.8000000000,36.4349450500,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.7601000000,0.7610000000,0.7493000000,0.7558000000,7118561.0000000000,1672631999999,5358109.1596100004,10308,3328428.8999999999,2505500.0535300002,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0031040000,0.0031440000,0.0030960000,0.0031260000,71516.2000000000,1672646399999,223.1103406000,472,46343.4000000000,144.7431302000,1672632000000,0.0000453700,0.0000462000,0.0000452700,0.0000460500,675691.1000000000,1672646399999,30.8949941700,3660,314305.1000000000,14.3746820600,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0006289000,0.0006363000,0.0006274000,0.0006349000,133614.9000000000,1672646399999,84.5311105800,420,81752.4000000000,51.7503596600,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.7558000000,0.7737000000,0.7528000000,0.7702000000,8850027.3000000007,1672646399999,6759462.9177400004,15315,4836277.9000000004,3693249.7074500001,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0031250000,0.0031620000,0.0031220000,0.0031500000,73989.2000000000,1672660799999,232.8814659000,490,24843.7000000000,78.1871191000,1672646400000,0.0000460500,0.0000466800,0.0000460500,0.0000465100,701909.1000000000,1672660799999,32.6310319200,4126,365147.8000000000,16.9703899900,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0006349000,0.0006435000,0.0006349000,0.0006397000,227917.3000000000,1672660799999,145.8285073200,705,103618.8000000000,66.2821927100,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.7702000000,0.7820000000,0.7702000000,0.7785000000,9179055.3000000007,1672660799999,7141512.7397999996,16371,4824198.5000000000,3753770.7232700000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0031530000,0.0031810000,0.0031450000,0.0031760000,32789.3000000000,1672675199999,103.6225349000,322,21189.6000000000,67.0171677000,1672660800000,0.0000465200,0.0000469600,0.0000464800,0.0000469000,468940.5000000000,1672675199999,21.8833438600,2723,242433.2000000000,11.3136193600,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0006400000,0.0006446000,0.0006387000,0.0006440000,174356.9000000000,1672675199999,111.7222280300,559,80585.4000000000,51.6642061800,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.7784000000,0.7861000000,0.7762000000,0.7850000000,7046471.4000000004,1672675199999,5499479.4931199998,13323,3949949.7999999998,3083171.7696799999,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
