SOLADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,SOLXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0405000000,0.0411000000,0.0403000000,0.0406000000,6417.2000000000,1672545599999,261.0130060000,486,3155.6400000000,128.3407270000,1672531200000,0.0006029000,0.0006089000,0.0005998000,0.0006025000,31907.4800000000,1672545599999,19.2906463000,3143,18310.1100000000,11.0698875600,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0083400000,0.0084300000,0.0083100000,0.0083400000,3194.1010000000,1672545599999,26.6992836200,205,1357.8490000000,11.3666498100,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,9.9700000000,10.0900000000,9.9100000000,9.9700000000,388499.0900000000,1672545599999,3886338.3043000000,10061,190426.0500000000,1905225.3160999999,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0406000000,0.0408000000,0.0398000000,0.0401000000,7982.1100000000,1672559999999,320.0243410000,534,2487.7100000000,99.9529280000,1672545600000,0.0006025000,0.0006037000,0.0005873000,0.0005926000,25578.3100000000,1672559999999,15.1808794400,2915,12344.5200000000,7.3268740700,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0083500000,0.0083600000,0.0081300000,0.0081900000,3076.1130000000,1672559999999,25.2781851200,266,1126.3290000000,9.2482177200,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,9.9700000000,9.9900000000,9.6900000000,9.8000000000,402695.1000000000,1672559999999,3949501.6428999999,12059,171243.9200000000,1679680.5773000000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0401000000,0.0408000000,0.0398000000,0.0407000000,7730.0300000000,1672574399999,311.8717260000,432,4172.3300000000,168.3418130000,1672560000000,0.0005927000,0.0006031000,0.0005875000,0.0005999000,61444.2600000000,1672574399999,36.6526948700,3913,21742.1200000000,12.9650860200,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0081900000,0.0083400000,0.0081200000,0.0083200000,92649.6370000000,1672574399999,768.8945219900,1028,3821.0020000000,31.5736386000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,9.8000000000,9.9800000000,9.7000000000,9.9300000000,419399.1100000000,1672574399999,4130276.6372000002,12292,214205.2000000000,2112213.6609000000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0406000000,0.0408000000,0.0401000000,0.0404000000,5236.5000000000,1672588799999,211.9289110000,409,2088.0700000000,84.5916280000,1672574400000,0.0005998000,0.0006014000,0.0005926000,0.0005957000,90154.5700000000,1672588799999,53.8820372100,4405,30767.8500000000,18.3834749200,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0083000000,0.0083200000,0.0082100000,0.0082400000,74692.8640000000,1672588799999,619.2274344200,1426,2602.1360000000,21.5122769500,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,9.9300000000,9.9700000000,9.8000000000,9.8700000000,341447.6900000000,1672588799999,3375195.7666000002,10835,166401.1900000000,1645744.3750000000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0404000000,0.0409000000,0.0403000000,0.0406000000,4654.8400000000,1672603199999,189.0497330000,331,2569.4400000000,104.4724970000,1672588800000,0.0005957000,0.0006050000,0.0005945000,0.0006000000,37917.0200000000,1672603199999,22.7559673400,2895,20563.0900000000,12.3379668200,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0082400000,0.0083500000,0.0082300000,0.0082900000,5405.4320000000,1672603199999,44.8127242200,300,2520.4330000000,20.9044556900,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,9.8600000000,10.0600000000,9.8500000000,9.9700000000,425262.9200000000,1672603199999,4237338.3679000000,12146,210365.0500000000,2097820.9415000002,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0407000000,0.0410000000,0.0406000000,0.0409000000,3343.6400000000,1672617599999,136.4379850000,275,1959.6300000000,80.0112560000,1672603200000,0.0006004000,0.0006047000,0.0005989000,0.0006006000,25600.4500000000,1672617599999,15.3991845500,2198,13319.3200000000,8.0143996000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0083000000,0.0083600000,0.0082800000,0.0083200000,3626.1100000000,1672617599999,30.1285842000,229,1547.5220000000,12.8630556600,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,9.9700000000,10.0600000000,9.9400000000,9.9900000000,310208.7200000000,1672617599999,3098717.8870999999,9359,160662.0000000000,1605119.8001999999,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0408000000,0.0410000000,0.0405000000,0.0410000000,5126.1900000000,1672631999999,209.1247530000,353,2579.1000000000,105.3384600000,1672617600000,0.0006010000,0.0006010000,0.0005929000,0.0005997000,31920.4400000000,1672631999999,19.0374501900,2737,12094.2100000000,7.2155137100,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0083000000,0.0083300000,0.0082200000,0.0083300000,4837.1070000000,1672631999999,39.9809091400,306,2413.3690000000,19.9519587200,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,9.9900000000,10.0200000000,9.8100000000,9.9900000000,377527.0500000000,1672631999999,3735738.4330000002,10574,157373.8500000000,1558157.8115000001,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0411000000,0.0492000000,0.0408000000,0.0450000000,33581.6500000000,1672646399999,1506.8524110000,1924,17925.4700000000,801.9876250000,1672632000000,0.0005996000,0.0007194000,0.0005982000,0.0006632000,146044.5200000000,1672646399999,95.7797691500,12615,77801.8100000000,50.9195060800,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0083300000,0.0099300000,0.0082800000,0.0091500000,25082.8050000000,1672646399999,225.3693497500,1398,15819.0040000000,142.2297684100,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,10.0000000000,12.0000000000,9.9400000000,11.0900000000,2826907.7900000000,1672646399999,31102580.4582999982,66127,1472316.6699999999,16193671.0493999999,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0449000000,0.0460000000,0.0442000000,0.0446000000,15453.6600000000,1672660799999,695.6843670000,1256,8626.4200000000,388.8582770000,1672646400000,0.0006634000,0.0006784000,0.0006519000,0.0006586000,116522.2200000000,1672660799999,77.4424485700,9844,56654.1700000000,37.6569360300,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0091400000,0.0093400000,0.0089300000,0.0090500000,24727.0110000000,1672660799999,225.6350249400,1406,13230.0090000000,120.9279710000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,11.1000000000,11.3800000000,10.8800000000,11.0100000000,1977405.4800000000,1672660799999,22005577.0723999999,48075,1030608.6000000000,11470983.4530999996,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0446000000,0.0454000000,0.0445000000,0.0450000000,11477.1500000000,1672675199999,516.8127130000,948,6482.2100000000,291.9590100000,1672660800000,0.0006587000,0.0006705000,0.0006579000,0.0006645000,72000.8100000000,1672675199999,47.8646027700,5904,37320.2900000000,24.8035552500,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0090600000,0.0092000000,0.0090400000,0.0091200000,11019.3960000000,1672675199999,100.6403759300,603,6083.7890000000,55.5647497900,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,11.0200000000,11.2300000000,11.0100000000,11.1100000000,1079344.4500000000,1672675199999,12006791.0241000000,29248,633635.7400000000,7051825.3153999997,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
