TRXADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,TRXXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0002212000,0.0002234000,0.0002212000,0.0002233000,1081622.0000000000,1672545599999,240.7244988000,838,594564.0000000000,132.3219709000,1672531200000,0.0000032900,0.0000033200,0.0000032900,0.0000033100,1583999.0000000000,1672545599999,5.2387896700,529,843587.0000000000,2.7923250000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0000455500,0.0000459300,0.0000455500,0.0000458600,1290858.0000000000,1672545599999,59.0720933000,1067,668772.0000000000,30.5899424000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,0.0545000000,0.0548100000,0.0544700000,0.0547700000,28221567.1000000015,1672545599999,1542918.0414219999,4683,18190774.5000000000,994610.4729430000,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.1605600000,0.1663200000,0.1605600000,0.1620400000,633887.2000000000,1672545599999,102937.8503120000,952,483862.7000000000,78676.8049500000
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0002233000,0.0002243000,0.0002230000,0.0002237000,1308884.0000000000,1672559999999,292.7754540000,804,702526.0000000000,157.1443089000,1672545600000,0.0000033200,0.0000033200,0.0000032900,0.0000033000,1635116.0000000000,1672559999999,5.4049724500,583,656645.0000000000,2.1722379700,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0000458700,0.0000459200,0.0000456300,0.0000456700,1238149.0000000000,1672559999999,56.6521907300,755,621085.0000000000,28.4273504200,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,0.0547700000,0.0547700000,0.0544600000,0.0546000000,23852402.5000000000,1672559999999,1302764.2416449999,4945,11307499.0999999996,617576.5318790000,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.1619800000,0.1629400000,0.1616700000,0.1621800000,236839.1000000000,1672559999999,38440.4625070000,413,138650.6000000000,22508.5902000000
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0002238000,0.0002242000,0.0002230000,0.0002241000,1124900.0000000000,1672574399999,251.6397191000,776,638718.0000000000,142.8975025000,1672560000000,0.0000033000,0.0000033100,0.0000032900,0.0000033100,1303179.0000000000,1672574399999,4.3006548500,586,552427.0000000000,1.8237789400,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0000456600,0.0000457800,0.0000455400,0.0000457600,1432815.0000000000,1672574399999,65.4254192700,964,697537.0000000000,31.8515067300,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,0.0546000000,0.0547500000,0.0544200000,0.0547500000,22141258.8999999985,1672574399999,1208254.6715430000,5814,12406101.5000000000,677035.8583540000,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.1620700000,0.1623400000,0.1603000000,0.1618900000,279687.0000000000,1672574399999,45187.0047400000,388,145165.2000000000,23485.7737760000
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0002240000,0.0002247000,0.0002234000,0.0002241000,1055608.0000000000,1672588799999,236.4541994000,718,484672.0000000000,108.5824838000,1672574400000,0.0000033100,0.0000033200,0.0000032900,0.0000033100,1980648.0000000000,1672588799999,6.5518347700,763,1148848.0000000000,3.8041106700,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0000457700,0.0000459200,0.0000456300,0.0000458200,1957488.0000000000,1672588799999,89.6100934600,931,854757.0000000000,39.1284294100,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,0.0547500000,0.0549300000,0.0546000000,0.0548300000,29817550.1999999993,1672588799999,1632350.9673700000,6865,17322219.3999999985,948423.7197960000,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.1618600000,0.1632100000,0.1614300000,0.1627200000,264935.6000000000,1672588799999,42947.0186060000,328,137491.9000000000,22300.9300500000
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0002241000,0.0002246000,0.0002235000,0.0002237000,1045797.0000000000,1672603199999,234.2652655000,754,470768.0000000000,105.4750084000,1672588800000,0.0000033200,0.0000033200,0.0000033000,0.0000033100,992217.0000000000,1672603199999,3.2825170200,688,403509.0000000000,1.3364508200,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0000458300,0.0000459300,0.0000456000,0.0000456300,1371932.0000000000,1672603199999,62.7731275000,833,631140.0000000000,28.8676812300,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,0.0548200000,0.0549600000,0.0548200000,0.0548700000,17234278.1999999993,1672603199999,946174.3697510000,5927,8637545.5000000000,474216.2975740000,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.1627200000,0.1634000000,0.1615300000,0.1618400000,170065.9000000000,1672603199999,27594.6425680000,295,82340.1000000000,13364.2643320000
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0002237000,0.0002249000,0.0002228000,0.0002243000,1403674.0000000000,1672617599999,313.9434747000,672,824316.0000000000,184.3520442000,1672603200000,0.0000033000,0.0000033100,0.0000032900,0.0000032900,2428981.0000000000,1672617599999,8.0175137700,576,807832.0000000000,2.6677550400,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0000456500,0.0000457100,0.0000454900,0.0000456500,3025822.0000000000,1672617599999,138.0534534300,803,1342045.0000000000,61.2194475700,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,0.0548600000,0.0549800000,0.0546600000,0.0548100000,31286629.3999999985,1672617599999,1715934.2657230000,5310,15776283.1999999993,865210.3624280000,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.1618000000,0.1627100000,0.1614500000,0.1619200000,164655.0000000000,1672617599999,26663.4910140000,212,73351.5000000000,11884.2972080000
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0002243000,0.0002263000,0.0002239000,0.0002239000,1254636.0000000000,1672631999999,282.2859922000,850,627108.0000000000,141.0862348000,1672617600000,0.0000033000,0.0000033100,0.0000032700,0.0000032700,680200.0000000000,1672631999999,2.2409574300,504,279897.0000000000,0.9229050700,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0000456500,0.0000458100,0.0000454200,0.0000454200,2252539.0000000000,1672631999999,102.8472817800,1060,1093522.0000000000,49.9315192200,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,0.0548000000,0.0548900000,0.0544400000,0.0546000000,45113116.1000000015,1672631999999,2463707.4527070001,8154,21704446.8999999985,1185427.7671030001,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.1618800000,0.1816800000,0.1614500000,0.1661400000,1220618.6000000001,1672631999999,209178.6345250000,2259,673801.5000000000,115466.7632730000
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0002239000,0.0002246000,0.0002221000,0.0002222000,1436447.0000000000,1672646399999,321.3862804000,956,771854.0000000000,172.7724868000,1672632000000,0.0000032700,0.0000033000,0.0000032700,0.0000032700,2011268.0000000000,1672646399999,6.6041496000,635,918511.0000000000,3.0175592800,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0000454100,0.0000455200,0.0000451000,0.0000451400,2510008.0000000000,1672646399999,113.7322461600,1127,1198810.0000000000,54.3318472300,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,0.0546000000,0.0552000000,0.0545600000,0.0547500000,53121391.2000000030,1672646399999,2909795.4570980002,10441,29388137.5000000000,1609599.2900139999,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.1662600000,0.1670900000,0.1617700000,0.1619800000,295270.3000000000,1672646399999,48551.7101050000,391,87551.2000000000,14434.3654370000
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0002222000,0.0002250000,0.0002217000,0.0002245000,2194683.0000000000,1672660799999,490.9869479000,891,1090604.0000000000,244.0718968000,1672646400000,0.0000032700,0.0000033100,0.0000032700,0.0000033100,3728140.0000000000,1672660799999,12.3187348600,855,2440562.0000000000,8.0679330200,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0000451300,0.0000456300,0.0000451100,0.0000455400,6371315.0000000000,1672660799999,289.3936779900,1510,3444346.0000000000,156.4695217600,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,0.0547500000,0.0555800000,0.0547100000,0.0553900000,67459727.7999999970,1672660799999,3727532.7665829998,13167,41445009.7999999970,2290044.5423309999,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.1620000000,0.1620000000,0.1589400000,0.1608400000,491956.2000000000,1672660799999,79043.4067850000,654,223691.4000000000,35972.6771610000
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0002244000,0.0002244000,0.0002232000,0.0002239000,1144934.0000000000,1672675199999,256.2276373000,775,640293.0000000000,143.3076578000,1672660800000,0.0000033100,0.0000033200,0.0000032900,0.0000033100,1491535.0000000000,1672675199999,4.9297214800,587,444400.0000000000,1.4709849000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0000455100,0.0000455300,0.0000452600,0.0000453500,2473241.0000000000,1672675199999,112.2878948700,945,1202053.0000000000,54.5667087200,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,0.0553900000,0.0554500000,0.0550900000,0.0553000000,37402127.0000000000,1672675199999,2066049.9329639999,9181,19457643.3000000007,1074740.7506750000,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.1609000000,0.1614000000,0.1571100000,0.1575300000,414859.9000000000,1672675199999,66091.4857280000,507,138503.0000000000,22102.6253450000
