USDTADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,USDTXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,4.0683482506,4.0617384240,4.0966816878,4.0749796251,,1672545599999,,,,,1672531200000,0.0917431193,0.0916590284,0.0925925926,0.0924214418,,1672545599999,,,,,1672531200000,0.0040600893,0.0040535063,0.0040799674,0.0040766408,,1672545599999,,,,,1672531200000,0.0000604530,0.0000603873,0.0000605753,0.0000604849,,1672545599999,,,,,1672531200000,0.9995000000,0.9998000000,0.9994000000,0.9998000000,191418.9000000000,1672545599999,191344.9056000000,127,155520.7000000000,155461.0925300000,1672531200000,0.2321262767,0.2318571760,0.2339181287,0.2324500232,,1672545599999,,,,,1672531200000,0.0008360295,0.0008356034,0.0008391303,0.0008374929,,1672545599999,,,,,1672531200000,0.1793721973,0.1792114695,0.1812907904,0.1801152738,,1672545599999,,,,,1672531200000,0.0142571999,0.0142369021,0.0144634076,0.0143967751,,1672545599999,,,,,1672531200000,1.3185654008,1.3185654008,1.3354700855,1.3297872340,,1672545599999,,,,,1672531200000,0.1003009027,0.0991080278,0.1009081736,0.1003009027,,1672545599999,,,,,1672531200000,18.3486238532,18.2448458311,18.3587295759,18.2581705313,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,14.0646976090,14.0449438202,14.1643059490,14.0845070423,,1672545599999,,,,,1672531200000,2.9507229271,2.9498525074,2.9682398338,2.9577048211,,1672545599999,,,,
1672545600000,4.0749796251,4.0733197556,4.0933278756,4.0783034258,,1672559999999,,,,,1672545600000,0.0924214418,0.0924214418,0.0936329588,0.0933706816,,1672559999999,,,,,1672545600000,0.0040766408,0.0040766408,0.0041067762,0.0040983607,,1672559999999,,,,,1672545600000,0.0000604849,0.0000604230,0.0000606097,0.0000605100,,1672559999999,,,,,1672545600000,0.9998000000,0.9999000000,0.9997000000,0.9998000000,42884.1000000000,1672559999999,42875.1207900000,92,24061.7000000000,24058.3675100000,1672545600000,0.2325040688,0.2321262767,0.2337540907,0.2323420074,,1672559999999,,,,,1672545600000,0.0008374859,0.0008362952,0.0008399338,0.0008367781,,1672559999999,,,,,1672545600000,0.1801477211,0.1800504141,0.1816530427,0.1808318264,,1672559999999,,,,,1672545600000,0.0143967751,0.0143781452,0.0145116819,0.0143864192,,1672559999999,,,,,1672545600000,1.3297872340,1.3262599469,1.3374348001,1.3280212483,,1672559999999,,,,,1672545600000,0.1003009027,0.1001001001,0.1031991744,0.1020408163,,1672559999999,,,,,1672545600000,18.2581705313,18.2581705313,18.3621006243,18.3150183150,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,14.0845070423,14.0449438202,14.1442715700,14.0646976090,,1672559999999,,,,,1672545600000,2.9577048211,2.9550827423,2.9815146094,2.9691211401,,1672559999999,,,,
1672560000000,4.0783034258,4.0650406504,4.1084634347,4.0666937780,,1672574399999,,,,,1672560000000,0.0933706816,0.0929368030,0.0939849624,0.0929368030,,1672574399999,,,,,1672560000000,0.0040966817,0.0040883074,0.0041084634,0.0040916530,,1672574399999,,,,,1672560000000,0.0000605118,0.0000603974,0.0000605870,0.0000603987,,1672574399999,,,,,1672560000000,0.9997000000,0.9998000000,0.9996000000,0.9997000000,79428.4000000000,1672574399999,79403.7232900000,108,19335.2000000000,19331.1333200000,1672560000000,0.2323420074,0.2302025783,0.2332089552,0.2306273063,,1672574399999,,,,,1672560000000,0.0008367711,0.0008351358,0.0008375350,0.0008358828,,1672574399999,,,,,1672560000000,0.1808645325,0.1788908766,0.1814223512,0.1793078716,,1672574399999,,,,,1672560000000,0.0143843498,0.0141542817,0.0144133756,0.0142409570,,1672574399999,,,,,1672560000000,1.3281976358,1.3192612137,1.3290802764,1.3206550449,,1672574399999,,,,,1672560000000,0.1020408163,0.1002004008,0.1030927835,0.1007049345,,1672574399999,,,,,1672560000000,18.3150183150,18.2648401826,18.3755972069,18.2648401826,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,14.0646976090,13.9275766017,14.0646976090,13.9275766017,,1672574399999,,,,,1672560000000,2.9700029700,2.9533372711,2.9726516052,2.9542097489,,1672574399999,,,,
1672574400000,4.0666937780,4.0584415584,4.0799673603,4.0617384240,,1672588799999,,,,,1672574400000,0.0929368030,0.0927643785,0.0932835821,0.0928505107,,1672588799999,,,,,1672574400000,0.0040916530,0.0040849673,0.0040983607,0.0040883074,,1672588799999,,,,,1672574400000,0.0000603987,0.0000603393,0.0000604826,0.0000603911,,1672588799999,,,,,1672574400000,0.9997000000,0.9999000000,0.9995000000,0.9997000000,208334.2000000000,1672588799999,208266.2710100000,308,125086.1000000000,125056.5239700000,1672574400000,0.2305741296,0.2303086135,0.2316423442,0.2304678497,,1672588799999,,,,,1672574400000,0.0008358758,0.0008343763,0.0008378437,0.0008355545,,1672588799999,,,,,1672574400000,0.1793078716,0.1785395465,0.1800828381,0.1787310098,,1672588799999,,,,,1672574400000,0.0142429853,0.0141783638,0.0143760782,0.0142106011,,1672588799999,,,,,1672574400000,1.3206550449,1.3164823591,1.3266118334,1.3183915623,,1672588799999,,,,,1672574400000,0.1007049345,0.1003009027,0.1020408163,0.1013171226,,1672588799999,,,,,1672574400000,18.2648401826,18.2049881668,18.3150183150,18.2381907715,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,13.9275766017,13.8696255201,13.9470013947,13.8888888889,,1672588799999,,,,,1672574400000,2.9550827423,2.9515938607,2.9735355337,2.9682398338,,1672588799999,,,,
1672588800000,4.0617384240,4.0064102564,4.0633888663,4.0257648953,,1672603199999,,,,,1672588800000,0.0929368030,0.0916590284,0.0931098696,0.0918273646,,1672603199999,,,,,1672588800000,0.0040883074,0.0040700041,0.0040916530,0.0040766408,,1672603199999,,,,,1672588800000,0.0000603911,0.0000601553,0.0000603938,0.0000602298,,1672603199999,,,,,1672588800000,0.9999000000,0.9999000000,0.9997000000,0.9999000000,116617.7000000000,1672603199999,116599.4483000000,275,95275.5000000000,95263.6130400000,1672588800000,0.2304678497,0.2284148013,0.2307869836,0.2296211251,,1672603199999,,,,,1672588800000,0.0008355545,0.0008302131,0.0008362043,0.0008320991,,1672603199999,,,,,1672588800000,0.1787310098,0.1774308020,0.1791151711,0.1784121320,,1672603199999,,,,,1672588800000,0.0142106011,0.0139762404,0.0142511045,0.0140984069,,1672603199999,,,,,1672588800000,1.3183915623,1.3125082032,1.3231013496,1.3161358252,,1672603199999,,,,,1672588800000,0.1014198783,0.0994035785,0.1015228426,0.1003009027,,1672603199999,,,,,1672588800000,18.2415176943,18.1950509461,18.2415176943,18.2248952069,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,13.9082058414,13.8312586445,13.9275766017,13.8504155125,,1672603199999,,,,,1672588800000,2.9691211401,2.9411764706,2.9691211401,2.9498525074,,1672603199999,,,,
1672603200000,4.0241448692,4.0000000000,4.0290088638,4.0016006403,,1672617599999,,,,,1672603200000,0.0918273646,0.0914076782,0.0922509225,0.0919963201,,1672617599999,,,,,1672603200000,0.0040766408,0.0040666938,0.0041067762,0.0040916530,,1672617599999,,,,,1672603200000,0.0000602282,0.0000601395,0.0000602909,0.0000601802,,1672617599999,,,,,1672603200000,0.9999000000,0.9999000000,0.9997000000,0.9998000000,129937.3000000000,1672617599999,129916.8020000000,385,79491.6000000000,79481.7918600000,1672603200000,0.2295684114,0.2279462047,0.2295684114,0.2287805994,,1672617599999,,,,,1672603200000,0.0008321060,0.0008301028,0.0008337780,0.0008330973,,1672617599999,,,,,1672603200000,0.1783803068,0.1773049645,0.1783803068,0.1776830135,,1672617599999,,,,,1672603200000,0.0140984069,0.0139899273,0.0141783638,0.0141023833,,1672617599999,,,,,1672603200000,1.3159626267,1.3111315065,1.3217023526,1.3152702880,,1672617599999,,,,,1672603200000,0.1003009027,0.0994035785,0.1006036217,0.1001001001,,1672617599999,,,,,1672603200000,18.2282172803,18.1884321571,18.2949140139,18.2448458311,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,13.8696255201,13.7362637363,13.8696255201,13.7741046832,,1672617599999,,,,,1672603200000,2.9498525074,2.9463759576,2.9612081729,2.9524653085,,1672617599999,,,,
1672617600000,4.0016006403,3.9904229848,4.0551500406,4.0048057669,,1672631999999,,,,,1672617600000,0.0919963201,0.0915750916,0.0934579439,0.0922509225,,1672631999999,,,,,1672617600000,0.0040899796,0.0040883074,0.0041545492,0.0041000410,,1672631999999,,,,,1672617600000,0.0000601787,0.0000598543,0.0000604277,0.0000600170,,1672631999999,,,,,1672617600000,0.9999000000,0.9999000000,0.9996000000,0.9997000000,52138.9000000000,1672631999999,52123.3900600000,359,18603.3000000000,18598.2044700000,1672617600000,0.2287805994,0.2246181491,0.2316960148,0.2251238181,,1672631999999,,,,,1672617600000,0.0008331042,0.0008308891,0.0008382230,0.0008319883,,1672631999999,,,,,1672617600000,0.1776198934,0.1766160367,0.1802451334,0.1777461785,,1672631999999,,,,,1672617600000,0.0141003948,0.0140627197,0.0142857143,0.0141043724,,1672631999999,,,,,1672617600000,1.3156163663,1.3140604468,1.3345789403,1.3231013496,,1672631999999,,,,,1672617600000,0.1001001001,0.0998003992,0.1019367992,0.1001001001,,1672631999999,,,,,1672617600000,18.2481751825,18.2182546912,18.3688464364,18.3150183150,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,13.7741046832,13.7551581843,14.1043723554,13.8504155125,,1672631999999,,,,,1672617600000,2.9533372711,2.9455081001,3.3333333333,3.0422878004,,1672631999999,,,,
1672632000000,4.0032025620,3.9047247169,4.0144520273,3.9354584809,,1672646399999,,,,,1672632000000,0.0921658986,0.0887311446,0.0923361034,0.0899280576,,1672646399999,,,,,1672632000000,0.0041000410,0.0040485830,0.0041152263,0.0040584416,,1672646399999,,,,,1672632000000,0.0000600154,0.0000596320,0.0000601705,0.0000598040,,1672646399999,,,,,1672632000000,0.9997000000,0.9999000000,0.9996000000,0.9997000000,154807.4000000000,1672646399999,154774.3651200000,513,58370.0000000000,58361.3901800000,1672632000000,0.2251238181,0.2225189141,0.2260397830,0.2236135957,,1672646399999,,,,,1672632000000,0.0008319883,0.0008196721,0.0008334236,0.0008243411,,1672646399999,,,,,1672632000000,0.1776830135,0.1742463844,0.1785714286,0.1759633996,,1672646399999,,,,,1672632000000,0.0141043724,0.0128270908,0.0142470437,0.0133689840,,1672646399999,,,,,1672632000000,1.3231013496,1.2924906294,1.3283740701,1.2983640613,,1672646399999,,,,,1672632000000,0.1000000000,0.0833333333,0.1006036217,0.0901713255,,1672646399999,,,,,1672632000000,18.3150183150,18.1159420290,18.3284457478,18.2648401826,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,13.8504155125,13.6425648022,13.9275766017,13.7551581843,,1672646399999,,,,,1672632000000,3.0432136336,2.9463759576,3.0637254902,2.9603315571,,1672646399999,,,,
1672646400000,3.9354584809,3.9047247169,3.9525691700,3.9370078740,,1672660799999,,,,,1672646400000,0.0899280576,0.0892857143,0.0901713255,0.0897666068,,1672660799999,,,,,1672646400000,0.0040584416,0.0040338846,0.0040617384,0.0040518639,,1672660799999,,,,,1672646400000,0.0000598041,0.0000596231,0.0000598656,0.0000597546,,1672660799999,,,,,1672646400000,0.9997000000,0.9999000000,0.9997000000,0.9999000000,141815.2000000000,1672660799999,141784.8834400000,240,113502.3000000000,113480.2385800000,1672646400000,0.2235636038,0.2211900022,0.2236135957,0.2228163993,,1672660799999,,,,,1672646400000,0.0008243479,0.0008167999,0.0008245791,0.0008214564,,1672660799999,,,,,1672646400000,0.1759324419,0.1746724891,0.1767096660,0.1755926251,,1672660799999,,,,,1672646400000,0.0133671969,0.0131527029,0.0134300295,0.0132819764,,1672660799999,,,,,1672646400000,1.2983640613,1.2787723785,1.2983640613,1.2845215157,,1672660799999,,,,,1672646400000,0.0900900901,0.0878734622,0.0919117647,0.0908265213,,1672660799999,,,,,1672646400000,18.2648401826,17.9920834833,18.2781941144,18.0538003250,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,13.7741046832,13.6425648022,13.7741046832,13.6986301370,,1672660799999,,,,,1672646400000,2.9603315571,2.8743891923,2.9612081729,2.9027576197,,1672660799999,,,,
1672660800000,3.9354584809,3.9200313603,3.9588281869,3.9277297722,,1672675199999,,,,,1672660800000,0.0896860987,0.0891265597,0.0900090009,0.0894454383,,1672675199999,,,,,1672660800000,0.0040518639,0.0040387722,0.0040650407,0.0040485830,,1672675199999,,,,,1672660800000,0.0000597532,0.0000597015,0.0000599911,0.0000597562,,1672675199999,,,,,1672660800000,0.9999000000,1.0000000000,0.9998000000,1.0000000000,171411.9000000000,1672675199999,171406.3276900000,459,136537.5000000000,136535.5266300000,1672660800000,0.2228660575,0.2215330084,0.2237136465,0.2222716159,,1672675199999,,,,,1672660800000,0.0008214564,0.0008190142,0.0008236961,0.0008203445,,1672675199999,,,,,1672660800000,0.1755926251,0.1749475157,0.1768346596,0.1753770607,,1672675199999,,,,,1672660800000,0.0132802125,0.0129718511,0.0133226752,0.0133049494,,1672675199999,,,,,1672660800000,1.2846865365,1.2721027859,1.2883277506,1.2738853503,,1672675199999,,,,,1672660800000,0.0907441016,0.0890471950,0.0908265213,0.0900090009,,1672675199999,,,,,1672660800000,18.0538003250,18.0342651037,18.1521147214,18.0831826401,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,13.6798905609,13.5869565217,13.7551581843,13.6425648022,,1672675199999,,,,,1672660800000,2.9027576197,2.8320589068,2.9222676797,2.8473804100,,1672675199999,,,,
