XLMADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XLMXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0002879000,0.0002900000,0.0002874000,0.0002897000,11269.0000000000,1672545599999,3.2569969000,20,6414.0000000000,1.8565561000,1672531200000,0.0000043000,0.0000043100,0.0000042700,0.0000042900,532669.0000000000,1672545599999,2.2846796500,307,169458.0000000000,0.7274476900,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0000593000,0.0000595000,0.0000593000,0.0000594000,1481.0000000000,1672545599999,0.0879012000,14,512.0000000000,0.0304296000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0711000000,0.0712000000,0.0706000000,0.0710000000,3023906.0000000000,1672545599999,214360.9061000000,1015,732955.0000000000,51975.2126000000,1672531200000,1,1,1,1,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0002897000,0.0002920000,0.0002897000,0.0002920000,24004.0000000000,1672559999999,6.9644407000,20,22939.0000000000,6.6551653000,1672545600000,0.0000043000,0.0000043100,0.0000042800,0.0000043000,485298.0000000000,1672559999999,2.0833051700,258,305426.0000000000,1.3116733000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0000596000,0.0000597000,0.0000593000,0.0000594000,2372.0000000000,1672559999999,0.1409772000,25,1189.0000000000,0.0707954000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0710000000,0.0712000000,0.0707000000,0.0711000000,3792492.0000000000,1672559999999,269188.0938000000,1033,2728317.0000000000,193752.2252000000,1672545600000,1,1,1,1,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0002913000,0.0002940000,0.0002913000,0.0002931000,18628.0000000000,1672574399999,5.4577069000,54,11306.0000000000,3.3134407000,1672560000000,0.0000043100,0.0000043400,0.0000043000,0.0000043400,603952.0000000000,1672574399999,2.6099690200,275,334290.0000000000,1.4485735200,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0000594000,0.0000601000,0.0000594000,0.0000601000,61977.0000000000,1672574399999,3.6992360000,42,48032.0000000000,2.8637498000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0711000000,0.0718000000,0.0711000000,0.0718000000,2391806.0000000000,1672574399999,170909.1328000000,1171,1090161.0000000000,77988.2780000000,1672560000000,1,1,1,1,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0002940000,0.0002950000,0.0002928000,0.0002948000,34094.0000000000,1672588799999,10.0214689000,37,13641.0000000000,4.0221053000,1672574400000,0.0000043300,0.0000043600,0.0000043300,0.0000043500,432442.0000000000,1672588799999,1.8795081900,604,299988.0000000000,1.3044400000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0000601000,0.0000604000,0.0000600000,0.0000602000,21190.0000000000,1672588799999,1.2760387000,37,14004.0000000000,0.8441806000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0718000000,0.0721000000,0.0717000000,0.0720000000,3612143.0000000000,1672588799999,259742.8127000000,1524,1792545.0000000000,128962.9399000000,1672574400000,1,1,1,1,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0002947000,0.0002949000,0.0002937000,0.0002949000,6896.0000000000,1672603199999,2.0277674000,13,6288.0000000000,1.8491528000,1672588800000,0.0000043400,0.0000043600,0.0000043300,0.0000043500,373739.0000000000,1672603199999,1.6238918400,416,218763.0000000000,0.9506846500,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0000602000,0.0000603000,0.0000598000,0.0000602000,30116.0000000000,1672603199999,1.8066482000,36,7155.0000000000,0.4297652000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0719000000,0.0723000000,0.0718000000,0.0722000000,2463848.0000000000,1672603199999,177486.4922000000,1141,1363270.0000000000,98239.4248000000,1672588800000,1,1,1,1,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0002948000,0.0002998000,0.0002942000,0.0002972000,22816.0000000000,1672617599999,6.7634646000,43,11538.0000000000,3.4210828000,1672603200000,0.0000043500,0.0000043800,0.0000043400,0.0000043600,794114.0000000000,1672617599999,3.4701489300,407,473465.0000000000,2.0715142500,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0000602000,0.0000608000,0.0000600000,0.0000604000,41273.0000000000,1672617599999,2.4929814000,43,31909.0000000000,1.9301851000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0721000000,0.0728000000,0.0721000000,0.0726000000,2769852.0000000000,1672617599999,200630.5825000000,988,1398240.0000000000,101325.8363000000,1672603200000,1,1,1,1,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0002988000,0.0002988000,0.0002937000,0.0002964000,95706.0000000000,1672631999999,28.2598664000,78,31939.0000000000,9.4585262000,1672617600000,0.0000043700,0.0000043800,0.0000042800,0.0000043300,1083228.0000000000,1672631999999,4.6725904400,636,528426.0000000000,2.2797495500,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0000605000,0.0000605000,0.0000594000,0.0000602000,55622.0000000000,1672631999999,3.3341315000,58,21494.0000000000,1.2842297000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0726000000,0.0727000000,0.0709000000,0.0722000000,12815369.0000000000,1672631999999,916553.7253000000,2565,5464109.0000000000,390796.2810000000,1672617600000,1,1,1,1,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0002964000,0.0002973000,0.0002949000,0.0002949000,22513.0000000000,1672646399999,6.6609329000,19,1724.0000000000,0.5119325000,1672632000000,0.0000043400,0.0000043700,0.0000043200,0.0000043500,781838.0000000000,1672646399999,3.3964495100,646,357787.0000000000,1.5527463400,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0000600000,0.0000604000,0.0000597000,0.0000598000,17874.0000000000,1672646399999,1.0721844000,31,3563.0000000000,0.2145090000,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0722000000,0.0733000000,0.0718000000,0.0727000000,7912086.0000000000,1672646399999,573500.5753000000,1832,4290188.0000000000,310985.0183000000,1672632000000,1,1,1,1,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0002958000,0.0002988000,0.0002952000,0.0002952000,57294.0000000000,1672660799999,16.9844299000,48,49010.0000000000,14.5372744000,1672646400000,0.0000043400,0.0000043900,0.0000043400,0.0000043700,536943.0000000000,1672660799999,2.3431901500,442,349437.0000000000,1.5260371700,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0000600000,0.0000603000,0.0000596000,0.0000599000,40469.0000000000,1672660799999,2.4281522000,49,21803.0000000000,1.3106847000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0726000000,0.0733000000,0.0726000000,0.0730000000,4800690.0000000000,1672660799999,350632.0895000000,1509,2659189.0000000000,194224.2130000000,1672646400000,1,1,1,1,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0002959000,0.0002979000,0.0002953000,0.0002979000,23195.0000000000,1672675199999,6.8702070000,17,2633.0000000000,0.7809654000,1672660800000,0.0000043700,0.0000044000,0.0000043500,0.0000043800,777093.0000000000,1672675199999,3.3962889900,642,430944.0000000000,1.8842671700,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0000601000,0.0000603000,0.0000598000,0.0000603000,56539.0000000000,1672675199999,3.3978301000,46,19929.0000000000,1.1998145000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0731000000,0.0736000000,0.0727000000,0.0733000000,3773074.0000000000,1672675199999,275757.0032000000,1702,1942675.0000000000,141991.7967000000,1672660800000,1,1,1,1,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,
