XRPADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPLINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPLTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPSOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPTRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,XRPXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0013760000,0.0013800000,0.0013730000,0.0013780000,99888.0000000000,1672545599999,137.5674120000,177,67218.0000000000,92.6310050000,1672531200000,0.0000204800,0.0000205100,0.0000203600,0.0000204600,2852330.0000000000,1672545599999,58.3605303600,2847,1448157.0000000000,29.6308890000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,0.0002832000,0.0002836000,0.0002819000,0.0002832000,145163.0000000000,1672545599999,41.0965159000,343,62890.0000000000,17.8069493000,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,,,,,,1672545599999,,,,,1672531200000,6.2282012955,6.0125060125,6.2282012955,6.1713157245,,1672545599999,,,,,1672531200000,0.3389000000,0.3390000000,0.3369000000,0.3381000000,27130528.0000000000,1672545599999,9177733.5050000008,10814,13678403.0000000000,4627664.7936000004,1672531200000,,,,,,1672545599999,,,,,1672531200000,1,1,1,1,,1672545599999,,,,
1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0013770000,0.0013820000,0.0013750000,0.0013790000,73511.0000000000,1672559999999,101.3586400000,158,46255.0000000000,63.8051440000,1672545600000,0.0000204600,0.0000204600,0.0000203100,0.0000203900,1467593.0000000000,1672559999999,29.8998046900,2097,744844.0000000000,15.1785359100,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,0.0002833000,0.0002837000,0.0002811000,0.0002819000,264319.0000000000,1672559999999,74.5520415000,398,109742.0000000000,30.9805901000,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,,,,,,1672559999999,,,,,1672545600000,6.1736016792,6.1372284276,6.1854394755,6.1659884079,,1672559999999,,,,,1672545600000,0.3381000000,0.3384000000,0.3354000000,0.3368000000,17896917.0000000000,1672559999999,6022356.0126000000,8288,9507044.0000000000,3199377.7302000001,1672545600000,,,,,,1672559999999,,,,,1672545600000,1,1,1,1,,1672559999999,,,,
1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0013800000,0.0013860000,0.0013800000,0.0013830000,65278.0000000000,1672574399999,90.2733480000,148,31821.0000000000,44.0329390000,1672560000000,0.0000203800,0.0000204700,0.0000203800,0.0000204400,701472.0000000000,1672574399999,14.3243505600,1197,404256.0000000000,8.2564063300,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,0.0002819000,0.0002829000,0.0002817000,0.0002829000,90649.0000000000,1672574399999,25.5907195000,227,58451.0000000000,16.5005451000,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,,,,,,1672574399999,,,,,1672560000000,6.1701733819,6.1599112973,6.2383031815,6.1770337884,,1672574399999,,,,,1672560000000,0.3367000000,0.3386000000,0.3364000000,0.3385000000,13008648.0000000000,1672574399999,4391795.6996999998,6551,7496895.0000000000,2531224.6266000001,1672560000000,,,,,,1672574399999,,,,,1672560000000,1,1,1,1,,1672574399999,,,,
1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0013830000,0.0013870000,0.0013760000,0.0013760000,104318.0000000000,1672588799999,144.1968500000,181,24342.0000000000,33.6835940000,1672574400000,0.0000204400,0.0000204600,0.0000203300,0.0000203500,1233294.0000000000,1672588799999,25.1731590600,1391,642292.0000000000,13.1108946100,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,0.0002828000,0.0002834000,0.0002760000,0.0002815000,558950.0000000000,1672588799999,157.3155652000,577,210176.0000000000,59.3810209000,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,,,,,,1672588799999,,,,,1672574400000,6.1781786729,6.1270755468,6.1946354457,6.1455260570,,1672588799999,,,,,1672574400000,0.3384000000,0.3388000000,0.3363000000,0.3369000000,16099476.0000000000,1672588799999,5437704.7766000004,7913,8561460.0000000000,2892085.5523000001,1672574400000,,,,,,1672588799999,,,,,1672574400000,1,1,1,1,,1672588799999,,,,
1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0013780000,0.0013870000,0.0013760000,0.0013820000,72721.0000000000,1672603199999,100.4538830000,221,43676.0000000000,60.3257340000,1672588800000,0.0000203400,0.0000204800,0.0000203400,0.0000204200,2074189.0000000000,1672603199999,42.3346943900,1838,1558487.0000000000,31.8133158000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,0.0002815000,0.0002829000,0.0002810000,0.0002820000,642632.0000000000,1672603199999,181.2133424000,540,231792.0000000000,65.3561776000,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,,,,,,1672603199999,,,,,1672588800000,6.1455260570,6.1199510404,6.1908004705,6.1789421651,,1672603199999,,,,,1672588800000,0.3368000000,0.3400000000,0.3368000000,0.3390000000,14217506.0000000000,1672603199999,4812956.8052000003,8241,7589801.0000000000,2569485.2277000002,1672588800000,,,,,,1672603199999,,,,,1672588800000,1,1,1,1,,1672603199999,,,,
1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0013820000,0.0013880000,0.0013770000,0.0013860000,80180.0000000000,1672617599999,110.8432590000,173,44332.0000000000,61.3529340000,1672603200000,0.0000204200,0.0000204400,0.0000203500,0.0000203900,2137561.0000000000,1672617599999,43.5830092600,1684,1323003.0000000000,26.9791557400,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,0.0002823000,0.0002823000,0.0002812000,0.0002821000,234790.0000000000,1672617599999,66.1204567000,322,103023.0000000000,29.0168596000,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,,,,,,1672617599999,,,,,1672603200000,6.1804697157,6.1459037551,6.1938680706,6.1758893281,,1672617599999,,,,,1672603200000,0.3390000000,0.3394000000,0.3377000000,0.3387000000,13673746.0000000000,1672617599999,4629091.7723000003,6854,6758674.0000000000,2288062.7171000000,1672603200000,,,,,,1672617599999,,,,,1672603200000,1,1,1,1,,1672617599999,,,,
1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0013880000,0.0013930000,0.0012400000,0.0013490000,1832913.0000000000,1672631999999,2418.2550600000,3073,788371.0000000000,1040.7672490000,1672617600000,0.0000203900,0.0000204500,0.0000180900,0.0000197200,20474775.0000000000,1672631999999,398.3864569700,21882,10828581.0000000000,211.4689293100,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,0.0002822000,0.0002832000,0.0002508000,0.0002734000,3904139.0000000000,1672631999999,1046.8912542000,4158,1987530.0000000000,530.6296965000,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,,,,,,1672631999999,,,,,1672617600000,6.1774153694,5.5041831792,6.1938680706,6.0190201035,,1672631999999,,,,,1672617600000,0.3386000000,0.3395000000,0.3000000000,0.3287000000,244189371.0000000000,1672631999999,78849758.3023000062,112839,114958251.0000000000,37169866.5169000030,1672617600000,,,,,,1672631999999,,,,,1672617600000,1,1,1,1,,1672631999999,,,,
1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0013470000,0.0013770000,0.0013430000,0.0013700000,577586.0000000000,1672646399999,786.7793030000,930,364286.0000000000,496.5395870000,1672632000000,0.0000197100,0.0000202600,0.0000196200,0.0000201900,6002440.0000000000,1672646399999,119.8786788300,6582,3384789.0000000000,67.5677430100,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,0.0002732000,0.0002798000,0.0002719000,0.0002782000,904179.0000000000,1672646399999,249.6555127000,1567,563064.0000000000,155.4746694000,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,,,,,,1672646399999,,,,,1672632000000,6.0146758090,5.9847986115,6.1816158744,6.1736016792,,1672646399999,,,,,1672632000000,0.3286000000,0.3394000000,0.3264000000,0.3378000000,89630194.0000000000,1672646399999,29831864.8746999986,40048,47161223.0000000000,15691130.0512000006,1672632000000,,,,,,1672646399999,,,,,1672632000000,1,1,1,1,,1672646399999,,,,
1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0013710000,0.0014030000,0.0013710000,0.0013950000,532966.0000000000,1672660799999,741.2178630000,1088,323301.0000000000,449.7131060000,1672646400000,0.0000202000,0.0000207800,0.0000201900,0.0000205900,5845550.0000000000,1672660799999,120.1551796300,8505,3032144.0000000000,62.3296758300,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,0.0002785000,0.0002854000,0.0002785000,0.0002830000,859566.0000000000,1672660799999,242.9365268000,1920,511786.0000000000,144.6495597000,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,,,,,,1672660799999,,,,,1672646400000,6.1728395062,6.1728395062,6.2916823959,6.2173588660,,1672660799999,,,,,1672646400000,0.3378000000,0.3479000000,0.3377000000,0.3445000000,100294349.0000000000,1672660799999,34483070.1667999998,39318,51620765.0000000000,17745619.0502000004,1672646400000,,,,,,1672660799999,,,,,1672646400000,1,1,1,1,,1672660799999,,,,
1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0013940000,0.0014290000,0.0013850000,0.0014220000,377831.0000000000,1672675199999,531.3342460000,867,243349.0000000000,342.6788210000,1672660800000,0.0000205900,0.0000210900,0.0000204800,0.0000209800,3902237.0000000000,1672675199999,81.0851254600,6129,2123648.0000000000,44.1572824500,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,0.0002830000,0.0002891000,0.0002814000,0.0002880000,626979.0000000000,1672675199999,178.8055587000,1489,389990.0000000000,111.2189464000,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,,,,,,1672675199999,,,,,1672660800000,6.2150403978,6.1957868649,6.3649672204,6.3479972069,,1672675199999,,,,,1672660800000,0.3445000000,0.3531000000,0.3422000000,0.3512000000,83203461.0000000000,1672675199999,28847903.0269999988,33156,43723875.0000000000,15161833.0144999996,1672660800000,,,,,,1672675199999,,,,,1672660800000,1,1,1,1,,1672675199999,,,,
